zone_id,latitude,longitude,hour,day_of_week,month,is_holiday,temperature,precipitation,event_nearby,population_density,num_restaurants,transit_stops_nearby,demand_count
Marda Loop,51.02752,-114.091842,21,3,10,0,10.6,0.7,0,1451.0,7,3,5
University District,51.079458,-114.136074,5,5,6,0,17.7,4.7,0,1952.0,4,5,3
University District,51.075575,-114.128428,4,0,12,0,-13.5,0.6,0,1952.0,4,5,1
Crescent Heights,51.0567,-114.055149,18,5,6,0,8.8,0.1,0,4062.0,74,4,31
Kensington,51.052641,-114.08539,1,3,11,0,-4.6,0.1,0,8998.0,148,16,2
Bridgeland,51.060782,-114.042691,15,2,10,0,7.0,0.4,0,7505.0,38,33,11
Beltline,51.041071,-114.069482,20,3,2,0,-4.7,0.6,0,12253.0,72,21,26
Marda Loop,51.025643,-114.099984,6,4,5,0,16.8,5.0,0,1451.0,7,3,5
University District,51.074095,-114.130395,2,1,1,0,-5.3,1.3,0,1952.0,4,5,0
Kensington,51.052741,-114.083728,4,3,3,0,1.4,3.6,0,8998.0,148,16,1
Bowness,51.087149,-114.189711,2,5,10,0,3.0,0.9,0,677.0,6,6,1
Signal Hill,51.01492,-114.169793,10,5,2,0,-11.3,0.1,1,1089.0,3,4,7
Shawnessy,50.914566,-114.070875,1,6,8,0,9.6,0.7,0,1900.0,8,1,1
Hillhurst,51.058001,-114.090979,5,2,6,0,20.4,2.5,0,11663.0,44,7,4
Downtown Commercial Core,51.0475,-114.063622,19,0,5,0,4.1,1.6,0,9194.0,132,27,21
Hillhurst,51.057082,-114.09391,5,1,12,0,-8.8,0.2,0,11663.0,44,7,4
Mount Royal,51.030109,-114.088082,2,3,3,0,-5.5,4.8,0,10123.0,46,3,1
Crowfoot,51.123446,-114.158345,10,5,5,0,12.5,5.3,0,1289.0,9,6,8
Mount Royal,51.029508,-114.081623,2,4,10,0,2.0,0.9,0,10123.0,46,3,1
Coventry Hills,51.153336,-114.083904,21,5,2,0,-14.0,0.0,0,839.0,21,3,9
Eau Claire,51.054311,-114.077027,19,0,3,0,-2.2,0.3,0,8455.0,24,4,17
Inglewood,51.03648,-114.031833,19,2,3,0,-11.7,0.3,0,2547.0,14,15,6
McKenzie Towne,50.92192,-113.958075,10,2,8,0,17.1,2.9,0,1688.0,10,1,6
Shawnessy,50.913531,-114.066537,2,0,7,0,19.0,2.8,0,1900.0,8,1,1
Beltline,51.038594,-114.069406,5,6,2,1,-0.7,0.3,0,12253.0,72,21,2
Hillhurst,51.058404,-114.089924,21,5,7,0,13.9,3.4,0,11663.0,44,7,19
Downtown Commercial Core,51.049348,-114.066116,22,1,1,0,1.4,1.7,0,9194.0,132,27,17
Shawnessy,50.910663,-114.070153,14,4,6,0,17.1,1.5,0,1900.0,8,1,7
Cliff Bungalow,51.033153,-114.079705,17,3,10,0,9.9,1.7,0,2836.0,77,7,21
Bridgeland,51.054169,-114.043742,8,1,11,0,-6.5,0.4,0,7505.0,38,33,25
Shawnessy,50.907594,-114.065246,8,4,6,0,4.4,0.2,0,1900.0,8,1,11
Bankview,51.033675,-114.090537,5,0,7,0,20.8,6.9,0,3178.0,18,7,3
Coventry Hills,51.153122,-114.082295,16,2,11,0,-11.6,1.9,0,839.0,21,3,5
Coventry Hills,51.155754,-114.082661,19,0,1,0,-11.6,1.9,0,839.0,21,3,5
Beltline,51.038422,-114.070943,15,2,9,0,12.0,1.3,0,12253.0,72,21,15
17th Avenue SW,51.038734,-114.079725,21,5,7,0,20.7,0.2,0,10501.0,66,8,18
Ramsay,51.040345,-114.03704,17,0,7,0,12.8,1.7,1,4208.0,75,13,64
Forest Lawn,51.044446,-113.971682,11,0,4,0,0.6,1.7,0,2420.0,8,4,18
Downtown Commercial Core,51.049387,-114.06204,3,0,3,0,3.5,0.6,0,9194.0,132,27,4
University District,51.075087,-114.130027,9,4,11,0,-3.1,1.1,0,1952.0,4,5,14
Sunnyside,51.05682,-114.084984,1,4,10,0,13.1,0.8,0,1031.0,28,19,0
Hillhurst,51.055998,-114.091855,20,3,3,0,-6.9,4.0,0,11663.0,44,7,10
Marlborough,51.05453,-113.976689,22,1,8,0,23.5,6.1,0,1531.0,10,4,16
Bowness,51.08624,-114.185523,14,4,8,0,28.7,2.4,0,677.0,6,6,7
Coventry Hills,51.152267,-114.082263,2,0,9,0,12.9,0.7,0,839.0,21,3,0
Coventry Hills,51.155578,-114.089953,23,5,6,0,15.7,9.0,0,839.0,21,3,4
Sunnyside,51.057474,-114.086134,1,0,10,0,-0.5,0.4,0,1031.0,28,19,1
Marlborough,51.055245,-113.972813,7,2,9,0,10.1,2.6,0,1531.0,10,4,8
Victoria Park,51.043499,-114.053919,20,1,8,0,18.2,2.9,0,13659.0,54,25,27
Hillhurst,51.060948,-114.088492,20,3,3,0,-5.8,2.1,0,11663.0,44,7,14
17th Avenue SW,51.036003,-114.082959,14,3,9,0,11.7,7.1,0,10501.0,66,8,22
Bridgeland,51.054558,-114.044162,23,1,11,0,-1.3,1.3,0,7505.0,38,33,4
Marda Loop,51.027248,-114.09157,4,6,7,0,6.6,4.8,0,1451.0,7,3,0
17th Avenue SW,51.03772,-114.083621,11,4,10,1,7.6,3.5,0,10501.0,66,8,12
McKenzie Towne,50.921475,-113.958573,23,5,11,1,-1.6,1.2,0,1688.0,10,1,2
Coventry Hills,51.154701,-114.084627,17,4,5,0,0.6,1.0,0,839.0,21,3,11
Inglewood,51.038031,-114.028002,15,1,4,0,10.4,10.2,0,2547.0,14,15,12
Mount Royal,51.033144,-114.08321,8,3,3,0,-0.8,0.8,0,10123.0,46,3,27
Beltline,51.037902,-114.068818,14,6,2,0,-3.7,3.0,0,12253.0,72,21,25
Tuscany,51.129285,-114.22722,18,0,4,1,2.2,2.5,0,425.0,14,1,3
Sunnyside,51.055858,-114.085939,5,5,4,0,5.3,4.1,0,1031.0,28,19,5
Bridgeland,51.05315,-114.04635,4,4,9,0,26.2,1.4,0,7505.0,38,33,0
Downtown Commercial Core,51.050579,-114.062842,3,6,10,0,-4.4,2.8,0,9194.0,132,27,1
Sunnyside,51.060795,-114.08337,19,0,9,0,20.9,11.4,0,1031.0,28,19,32
Forest Lawn,51.045835,-113.974875,6,0,11,0,2.0,1.4,0,2420.0,8,4,5
Coventry Hills,51.153812,-114.080116,22,2,7,0,27.8,1.9,0,839.0,21,3,2
Marlborough,51.054036,-113.975249,10,4,9,0,9.9,3.4,0,1531.0,10,4,9
Victoria Park,51.042797,-114.055309,3,5,11,0,0.2,3.8,0,13659.0,54,25,1
Inglewood,51.042473,-114.028858,19,1,4,0,10.4,1.3,0,2547.0,14,15,8
Forest Lawn,51.040991,-113.971855,5,5,10,1,10.6,3.6,0,2420.0,8,4,1
Hillhurst,51.058387,-114.089304,4,5,6,0,17.9,25.1,0,11663.0,44,7,2
Bridgeland,51.057897,-114.046228,13,5,8,0,14.3,4.2,0,7505.0,38,33,21
Forest Lawn,51.044093,-113.972916,23,2,12,0,-19.1,0.4,0,2420.0,8,4,4
Cliff Bungalow,51.032677,-114.077051,11,4,12,0,-9.7,0.4,0,2836.0,77,7,17
Mission,51.03345,-114.064562,14,6,8,0,22.6,4.3,0,2547.0,129,15,19
Eau Claire,51.054019,-114.070531,12,4,4,0,7.2,5.3,0,8455.0,24,4,30
Marlborough,51.053109,-113.973079,4,0,4,0,11.1,0.2,0,1531.0,10,4,0
Forest Lawn,51.045511,-113.969993,21,4,9,0,19.7,4.5,0,2420.0,8,4,7
Beltline,51.042911,-114.074846,9,0,2,0,-8.3,0.2,0,12253.0,72,21,26
Bankview,51.034896,-114.093518,0,1,10,0,9.3,5.5,0,3178.0,18,7,6
Tuscany,51.129957,-114.220011,8,0,2,0,-5.3,0.6,0,425.0,14,1,3
Eau Claire,51.053579,-114.073891,13,0,3,0,-1.3,0.8,0,8455.0,24,4,17
Mount Royal,51.031182,-114.083923,12,1,2,0,-3.3,0.1,0,10123.0,46,3,18
Tuscany,51.129016,-114.225258,5,4,11,0,1.0,3.4,0,425.0,14,1,0
Forest Lawn,51.043424,-113.974359,15,4,6,0,14.4,1.1,0,2420.0,8,4,13
Ramsay,51.039931,-114.034379,15,2,12,0,-8.8,0.7,1,4208.0,75,13,23
Mount Royal,51.029672,-114.079805,9,4,7,0,18.0,0.6,0,10123.0,46,3,22
McKenzie Towne,50.927014,-113.955593,18,6,3,0,-5.0,2.8,0,1688.0,10,1,1
Marlborough,51.051728,-113.971052,0,5,5,0,5.8,0.2,0,1531.0,10,4,0
Crescent Heights,51.059616,-114.062539,3,5,4,0,-2.7,0.4,0,4062.0,74,4,2
Cliff Bungalow,51.03749,-114.075472,19,2,5,0,9.2,21.7,0,2836.0,77,7,13
Bowness,51.087553,-114.188372,18,2,1,0,-9.2,0.3,0,677.0,6,6,7
Ramsay,51.039899,-114.034937,19,5,2,0,-10.5,1.0,0,4208.0,75,13,12
Chinatown,51.050637,-114.064175,14,4,3,1,2.6,0.0,0,14759.0,49,10,5
Bridgeland,51.054476,-114.046135,6,2,9,0,7.2,0.3,0,7505.0,38,33,5
Tuscany,51.128953,-114.222805,15,4,10,0,3.4,0.5,0,425.0,14,1,5
Shawnessy,50.912034,-114.068432,12,6,10,0,1.8,0.2,0,1900.0,8,1,2
Ramsay,51.038819,-114.038538,13,4,9,0,12.8,5.7,0,4208.0,75,13,26
Victoria Park,51.036935,-114.053581,3,4,9,0,14.1,5.5,0,13659.0,54,25,3
Victoria Park,51.042864,-114.050716,0,6,5,0,9.1,10.5,0,13659.0,54,25,9
Downtown Commercial Core,51.049546,-114.061023,13,2,12,0,-5.6,0.0,0,9194.0,132,27,8
Sunalta,51.045339,-114.093212,18,0,10,0,14.4,0.9,0,2854.0,63,15,24
Shawnessy,50.90766,-114.069157,11,0,10,0,0.7,2.5,0,1900.0,8,1,5
Inglewood,51.031965,-114.02469,19,4,9,0,13.2,0.2,0,2547.0,14,15,12
Kensington,51.049859,-114.08405,8,4,10,0,10.9,1.9,0,8998.0,148,16,43
17th Avenue SW,51.03743,-114.081773,20,5,6,0,11.8,1.4,0,10501.0,66,8,24
Shawnessy,50.912163,-114.065893,16,5,3,1,7.2,0.9,0,1900.0,8,1,0
Chinatown,51.050607,-114.07141,2,0,4,0,4.6,7.8,0,14759.0,49,10,0
Bowness,51.086217,-114.18529,23,0,12,0,-9.3,0.6,1,677.0,6,6,5
Hillhurst,51.05941,-114.094481,16,5,6,0,21.0,0.4,0,11663.0,44,7,24
Bankview,51.034791,-114.093741,23,3,6,0,13.2,1.9,0,3178.0,18,7,4
17th Avenue SW,51.035746,-114.080956,6,5,11,0,-7.4,0.7,0,10501.0,66,8,5
Chinatown,51.053877,-114.063548,16,6,4,0,5.6,3.9,1,14759.0,49,10,49
Victoria Park,51.042281,-114.059894,6,2,1,0,-0.5,1.0,0,13659.0,54,25,9
Coventry Hills,51.15679,-114.079098,4,5,2,0,-8.7,0.2,0,839.0,21,3,0
Bridgeland,51.057132,-114.042753,8,4,4,0,7.7,4.5,0,7505.0,38,33,32
Marlborough,51.051036,-113.974255,18,0,2,0,-15.8,0.2,0,1531.0,10,4,4
Sunalta,51.041702,-114.089238,4,1,2,0,-3.4,4.0,1,2854.0,63,15,2
Eau Claire,51.053583,-114.069292,16,5,9,0,10.2,6.5,1,8455.0,24,4,61
Mount Royal,51.029324,-114.080608,23,5,11,1,-2.4,1.8,0,10123.0,46,3,6
Beltline,51.039207,-114.067145,14,1,3,0,3.3,0.1,0,12253.0,72,21,17
Bankview,51.029844,-114.096206,22,0,9,0,16.4,3.9,0,3178.0,18,7,5
Chinatown,51.049325,-114.067121,0,6,9,0,18.7,0.6,0,14759.0,49,10,6
Marlborough,51.053926,-113.96899,20,0,7,0,21.2,0.4,0,1531.0,10,4,8
Tuscany,51.12935,-114.22691,20,6,2,0,2.3,1.1,0,425.0,14,1,6
Signal Hill,51.014582,-114.168825,3,6,10,0,-4.7,1.1,0,1089.0,3,4,3
Mission,51.038753,-114.067458,1,5,6,0,9.1,1.7,0,2547.0,129,15,5
Sunnyside,51.057449,-114.083668,7,1,4,0,1.1,3.3,0,1031.0,28,19,18
Tuscany,51.131904,-114.22521,21,2,6,0,13.9,5.6,1,425.0,14,1,13
Marlborough,51.055532,-113.97132,21,0,1,0,-4.2,0.1,0,1531.0,10,4,7
Hillhurst,51.058709,-114.096727,15,4,10,0,7.3,0.1,0,11663.0,44,7,17
Eau Claire,51.054183,-114.068527,8,3,4,0,1.8,5.7,0,8455.0,24,4,37
Bankview,51.031402,-114.090598,12,3,6,0,12.0,0.2,0,3178.0,18,7,26
Bridgeland,51.057963,-114.042195,20,6,12,1,-20.5,0.7,0,7505.0,38,33,8
Crowfoot,51.123757,-114.159785,20,5,11,0,-6.0,1.4,0,1289.0,9,6,11
Signal Hill,51.019241,-114.172557,6,1,8,0,18.6,1.3,0,1089.0,3,4,5
Shawnessy,50.909623,-114.063255,0,3,9,0,19.3,6.4,0,1900.0,8,1,1
Bridgeland,51.052552,-114.045933,11,5,9,0,7.6,1.6,0,7505.0,38,33,15
Coventry Hills,51.154539,-114.084565,8,3,2,0,-12.0,3.9,0,839.0,21,3,4
Bankview,51.035187,-114.098008,9,2,7,0,29.7,0.7,0,3178.0,18,7,21
Crowfoot,51.123131,-114.160695,12,1,11,0,-9.6,0.4,0,1289.0,9,6,7
Victoria Park,51.038208,-114.056653,6,2,7,0,16.2,2.0,0,13659.0,54,25,13
Bankview,51.033427,-114.096752,17,4,7,0,16.1,0.4,0,3178.0,18,7,25
Chinatown,51.051642,-114.06074,4,0,9,0,9.1,0.3,0,14759.0,49,10,1
17th Avenue SW,51.039009,-114.078259,12,2,9,0,9.8,4.6,0,10501.0,66,8,25
Hillhurst,51.059325,-114.093294,13,6,6,0,22.8,9.6,0,11663.0,44,7,35
Marda Loop,51.02612,-114.096053,10,5,3,0,-5.6,1.6,0,1451.0,7,3,7
Chinatown,51.050905,-114.068489,10,0,12,0,-0.6,0.1,0,14759.0,49,10,23
Cliff Bungalow,51.034103,-114.072765,1,6,12,0,0.7,0.0,0,2836.0,77,7,0
University District,51.077337,-114.129102,10,6,10,0,2.7,5.1,0,1952.0,4,5,11
Eau Claire,51.053414,-114.066047,4,0,1,0,-6.3,0.0,0,8455.0,24,4,0
East Village,51.050993,-114.049766,21,2,4,0,7.5,4.2,0,14642.0,72,17,14
Ramsay,51.037456,-114.030607,11,1,7,0,13.4,11.4,0,4208.0,75,13,20
Mission,51.036805,-114.069303,13,6,11,0,-0.6,0.3,0,2547.0,129,15,19
Marda Loop,51.031425,-114.093496,15,2,1,0,-12.8,0.3,0,1451.0,7,3,8
Shawnessy,50.912608,-114.064975,3,4,5,0,12.2,5.5,0,1900.0,8,1,0
Marda Loop,51.027591,-114.093555,7,4,4,0,14.4,3.0,0,1451.0,7,3,10
Coventry Hills,51.155933,-114.084146,2,3,9,0,6.3,6.4,0,839.0,21,3,0
Marda Loop,51.03061,-114.099237,11,3,9,0,15.2,3.0,0,1451.0,7,3,14
Crescent Heights,51.057986,-114.056936,20,3,5,0,9.5,2.1,1,4062.0,74,4,20
Cliff Bungalow,51.032674,-114.074426,9,2,12,0,-18.7,1.6,0,2836.0,77,7,2
Marlborough,51.056265,-113.967661,8,3,11,0,2.7,0.5,0,1531.0,10,4,10
Ramsay,51.037501,-114.034737,10,5,3,0,-1.8,1.3,0,4208.0,75,13,11
Eau Claire,51.050727,-114.067664,16,2,3,0,-9.2,3.9,0,8455.0,24,4,13
Beltline,51.044431,-114.07014,2,0,6,0,12.0,5.4,0,12253.0,72,21,2
Hillhurst,51.054781,-114.094403,1,4,7,0,22.3,6.1,0,11663.0,44,7,7
17th Avenue SW,51.039505,-114.078727,13,3,9,0,13.7,4.3,0,10501.0,66,8,20
Downtown Commercial Core,51.051652,-114.056111,22,0,11,0,1.1,0.3,0,9194.0,132,27,10
University District,51.078636,-114.127396,22,1,11,1,-3.4,0.4,0,1952.0,4,5,5
Bridgeland,51.055662,-114.044586,10,1,3,0,2.9,0.3,0,7505.0,38,33,15
Beltline,51.042007,-114.065245,19,4,2,0,-13.6,1.8,0,12253.0,72,21,17
Coventry Hills,51.150836,-114.086548,5,1,9,0,11.0,0.7,0,839.0,21,3,0
Mount Royal,51.029857,-114.085175,3,1,10,0,7.5,4.2,0,10123.0,46,3,0
Victoria Park,51.039118,-114.0557,6,5,2,0,-3.9,0.7,0,13659.0,54,25,8
Kensington,51.052941,-114.0852,20,3,1,0,-14.1,1.6,0,8998.0,148,16,17
Mount Royal,51.033063,-114.081408,0,3,11,0,-2.3,1.2,0,10123.0,46,3,0
East Village,51.045117,-114.046786,10,4,2,0,-13.9,1.8,0,14642.0,72,17,24
Cliff Bungalow,51.03329,-114.070962,9,6,10,0,5.6,1.3,0,2836.0,77,7,10
Sunnyside,51.055441,-114.088903,13,4,2,0,-13.8,0.7,0,1031.0,28,19,13
Eau Claire,51.053872,-114.071239,12,5,4,0,5.0,1.7,0,8455.0,24,4,20
Mission,51.033019,-114.066311,19,4,6,0,17.0,2.3,0,2547.0,129,15,23
Hillhurst,51.057274,-114.095365,9,1,12,0,-9.9,0.3,0,11663.0,44,7,16
Hillhurst,51.059341,-114.090387,13,5,7,0,21.4,4.4,0,11663.0,44,7,29
Crescent Heights,51.056732,-114.060365,6,6,6,0,23.2,14.3,0,4062.0,74,4,9
Coventry Hills,51.151111,-114.084406,7,5,8,0,16.9,6.1,1,839.0,21,3,15
Mission,51.032431,-114.066857,11,4,9,0,21.8,1.9,0,2547.0,129,15,17
University District,51.077564,-114.134924,7,4,1,1,-10.6,0.4,0,1952.0,4,5,4
Marda Loop,51.024785,-114.099348,15,0,7,0,13.5,2.2,1,1451.0,7,3,30
McKenzie Towne,50.920952,-113.95788,1,1,1,0,-8.4,0.4,1,1688.0,10,1,2
Downtown Commercial Core,51.047792,-114.06261,17,1,10,0,5.2,1.1,0,9194.0,132,27,44
Downtown Commercial Core,51.047212,-114.061846,10,3,2,1,-7.7,1.0,0,9194.0,132,27,13
Mission,51.035332,-114.065255,13,0,4,0,-3.1,0.8,0,2547.0,129,15,26
Sunnyside,51.057377,-114.084802,1,1,12,0,-1.3,1.7,0,1031.0,28,19,0
Signal Hill,51.017139,-114.168614,4,1,6,0,15.4,1.6,0,1089.0,3,4,0
East Village,51.045475,-114.048683,14,5,9,0,12.2,2.5,0,14642.0,72,17,16
Chinatown,51.048538,-114.067977,9,0,12,0,-14.3,0.3,0,14759.0,49,10,23
Ramsay,51.041081,-114.032799,4,2,6,0,12.6,0.0,0,4208.0,75,13,2
Forest Lawn,51.044908,-113.973604,3,1,1,1,-17.6,1.2,0,2420.0,8,4,0
Bridgeland,51.056435,-114.046412,18,4,3,0,-2.8,0.6,0,7505.0,38,33,29
Bridgeland,51.056317,-114.039391,10,1,4,0,5.9,5.5,1,7505.0,38,33,37
Hillhurst,51.058592,-114.0918,10,3,11,0,-1.0,0.3,0,11663.0,44,7,16
Sunalta,51.043694,-114.090175,7,2,5,1,14.1,5.2,0,2854.0,63,15,16
Marda Loop,51.026227,-114.09596,12,2,8,0,30.8,4.4,0,1451.0,7,3,18
East Village,51.045892,-114.050798,18,1,4,0,4.9,3.5,0,14642.0,72,17,34
Forest Lawn,51.042709,-113.974227,4,4,11,0,-6.7,2.4,0,2420.0,8,4,0
Signal Hill,51.017797,-114.17157,0,6,4,0,3.6,4.3,0,1089.0,3,4,2
East Village,51.048292,-114.04655,6,1,3,0,0.1,0.6,0,14642.0,72,17,8
Crowfoot,51.119886,-114.16201,22,2,4,0,4.5,0.6,0,1289.0,9,6,4
Marlborough,51.056667,-113.976114,11,2,1,0,-10.8,0.6,0,1531.0,10,4,4
Marlborough,51.052862,-113.976335,21,0,1,0,-9.6,0.3,0,1531.0,10,4,13
Tuscany,51.131143,-114.223352,0,4,10,0,3.1,2.5,0,425.0,14,1,3
Tuscany,51.125017,-114.221778,15,2,4,0,11.5,2.8,0,425.0,14,1,7
Kensington,51.050971,-114.082006,1,3,10,0,6.1,2.2,0,8998.0,148,16,1
Bowness,51.088621,-114.186649,23,4,7,0,11.2,0.4,0,677.0,6,6,2
Marlborough,51.05478,-113.974839,4,0,4,0,-0.9,0.4,0,1531.0,10,4,0
Signal Hill,51.01628,-114.166101,20,1,9,0,16.7,1.1,0,1089.0,3,4,4
Marda Loop,51.024716,-114.095184,7,2,11,0,-1.7,2.2,0,1451.0,7,3,7
Mount Royal,51.032712,-114.082516,1,0,3,0,-6.9,1.3,0,10123.0,46,3,2
Marda Loop,51.025743,-114.09914,8,0,3,0,7.2,1.9,0,1451.0,7,3,18
Inglewood,51.039194,-114.029031,13,2,6,0,6.5,1.5,1,2547.0,14,15,35
Inglewood,51.0397,-114.027052,20,6,12,0,-6.5,1.2,0,2547.0,14,15,16
Mount Royal,51.032199,-114.081361,6,3,3,0,1.8,0.6,0,10123.0,46,3,7
Ramsay,51.037222,-114.035671,12,0,7,0,15.6,0.5,0,4208.0,75,13,25
Mission,51.035607,-114.059886,2,5,11,0,-2.2,0.5,0,2547.0,129,15,4
Crowfoot,51.123991,-114.15842,7,1,5,0,12.3,7.1,0,1289.0,9,6,11
Mission,51.037257,-114.06622,18,6,11,0,-2.6,1.3,0,2547.0,129,15,27
Crescent Heights,51.054168,-114.064648,10,5,5,0,13.9,0.4,0,4062.0,74,4,14
Sunalta,51.040473,-114.088848,2,3,1,0,-8.1,0.2,0,2854.0,63,15,0
Mission,51.035437,-114.070025,3,3,11,0,-5.8,0.3,0,2547.0,129,15,1
Crescent Heights,51.05929,-114.064315,1,3,2,0,-10.8,1.1,0,4062.0,74,4,0
Inglewood,51.037892,-114.028752,3,2,8,0,21.4,8.7,0,2547.0,14,15,0
17th Avenue SW,51.039828,-114.081146,14,6,6,0,27.8,5.1,0,10501.0,66,8,17
Chinatown,51.051691,-114.069444,12,0,1,0,-17.5,1.5,0,14759.0,49,10,11
Coventry Hills,51.156376,-114.088659,6,5,3,0,5.2,2.7,0,839.0,21,3,3
Bowness,51.08766,-114.190512,1,1,5,1,7.2,0.5,0,677.0,6,6,0
Tuscany,51.124911,-114.221598,23,4,10,1,2.9,3.1,0,425.0,14,1,0
Beltline,51.040067,-114.070627,21,6,2,0,-9.4,0.3,0,12253.0,72,21,23
Inglewood,51.033945,-114.028166,0,5,11,0,2.9,0.1,0,2547.0,14,15,3
Mission,51.035651,-114.067808,6,6,7,1,26.9,0.3,0,2547.0,129,15,8
Bankview,51.029962,-114.092672,0,6,8,0,16.9,0.9,0,3178.0,18,7,3
Sunalta,51.045053,-114.091394,22,6,11,0,-6.4,1.8,0,2854.0,63,15,12
Sunnyside,51.057536,-114.083601,14,5,2,0,-4.8,0.6,0,1031.0,28,19,13
Bowness,51.084579,-114.184985,10,3,11,0,-1.3,1.1,0,677.0,6,6,8
17th Avenue SW,51.039239,-114.075694,22,4,4,0,3.3,0.1,0,10501.0,66,8,10
Bankview,51.031076,-114.093817,15,3,5,0,16.9,0.0,0,3178.0,18,7,12
Shawnessy,50.91149,-114.067601,8,4,1,0,-7.6,3.5,0,1900.0,8,1,6
Ramsay,51.040521,-114.03302,8,1,2,0,-7.0,0.2,0,4208.0,75,13,15
McKenzie Towne,50.924326,-113.958811,13,6,9,0,13.8,4.3,0,1688.0,10,1,3
McKenzie Towne,50.918887,-113.956055,14,5,3,0,-0.1,0.7,0,1688.0,10,1,4
Forest Lawn,51.041001,-113.967944,4,0,5,0,12.6,5.3,0,2420.0,8,4,1
Kensington,51.055236,-114.08404,8,5,5,0,13.6,1.1,1,8998.0,148,16,39
Bridgeland,51.054246,-114.045787,2,0,7,0,20.1,0.9,0,7505.0,38,33,1
Bridgeland,51.057832,-114.043071,16,2,6,1,13.5,15.2,0,7505.0,38,33,23
Signal Hill,51.019379,-114.171247,16,0,4,0,6.8,1.8,0,1089.0,3,4,14
Marda Loop,51.027284,-114.094837,15,4,7,0,20.5,5.1,0,1451.0,7,3,15
Inglewood,51.03778,-114.026775,15,6,11,0,-6.0,0.0,0,2547.0,14,15,13
Victoria Park,51.039557,-114.049759,11,2,12,0,-12.0,0.4,0,13659.0,54,25,17
Bridgeland,51.055519,-114.042943,17,0,5,0,1.4,0.9,0,7505.0,38,33,39
Tuscany,51.126445,-114.221484,14,1,12,0,-3.5,0.9,1,425.0,14,1,5
Mount Royal,51.032294,-114.081057,15,4,5,0,8.8,1.1,0,10123.0,46,3,11
Signal Hill,51.016329,-114.170763,14,2,3,0,-1.0,3.2,1,1089.0,3,4,10
Signal Hill,51.017075,-114.172053,19,2,7,0,15.5,8.4,0,1089.0,3,4,8
Crescent Heights,51.054418,-114.061581,18,0,8,0,20.9,4.3,1,4062.0,74,4,55
Chinatown,51.051761,-114.064241,16,2,3,0,-6.5,0.4,0,14759.0,49,10,22
Shawnessy,50.912911,-114.068997,0,1,4,0,3.7,2.0,0,1900.0,8,1,0
Signal Hill,51.01622,-114.168791,2,0,8,0,25.2,17.2,0,1089.0,3,4,0
Bankview,51.034371,-114.092338,14,5,11,0,1.7,0.4,0,3178.0,18,7,11
Sunalta,51.045374,-114.096061,11,0,8,0,22.4,6.4,0,2854.0,63,15,28
