machine_id,temperature,vibration,pressure,rpm,power_consumption,operating_hours,age_months,maintenance_history_count,failure_within_7days,rolling_mean_temp_24h,rolling_std_vibration_24h,temp_pressure_ratio
40,53.45,1.629,5.4,1330.1,68.99,39139,23,8,0,53.45,0.0,9.8981
34,63.02,2.552,6.24,1754.1,67.17,36741,12,19,0,63.61,0.8188,10.0994
35,82.59,3.39,5.65,1358.3,39.86,8086,57,10,0,82.59,0.0,14.6177
43,64.5,1.09,6.33,1507.2,43.48,22501,106,18,0,56.72,1.4354,10.1896
47,67.22,1.61,5.18,1663.7,60.06,17727,55,7,0,67.22,0.0,12.9768
25,59.19,2.081,5.51,1257.3,60.31,9021,25,2,0,60.44,0.5028,10.7423
29,73.62,3.625,5.95,1035.4,60.26,36944,18,13,0,73.62,0.0,12.3731
4,87.54,8.923,2.21,1436.2,82.32,31563,45,1,1,87.54,0.0,39.6109
30,52.91,3.472,5.16,1353.6,63.85,30864,90,2,0,58.54,1.5647,10.2539
33,59.93,1.785,5.67,1492.1,64.97,17536,109,0,0,63.24,0.087,10.5697
28,56.8,1.526,6.29,1374.3,57.07,48060,40,2,0,64.55,0.4754,9.0302
35,58.96,1.695,3.68,1448.7,39.77,8063,57,10,0,70.78,1.1985,16.0217
7,65.73,2.663,4.15,1369.0,76.87,2632,118,6,0,65.73,0.0,15.8386
5,60.63,2.033,5.06,1362.1,48.04,31420,49,5,0,65.44,0.5582,11.9822
17,94.64,6.855,3.28,1524.6,85.62,48885,49,0,1,80.82,2.4848,28.8537
42,65.11,2.997,4.97,1556.5,39.97,5816,63,17,0,65.11,0.0,13.1006
32,72.86,2.451,6.28,1559.4,66.14,26056,56,0,0,69.2,0.6958,11.6019
47,77.09,3.092,5.08,1246.6,50.28,18083,55,7,0,72.16,1.0479,15.1752
2,67.6,3.435,6.55,1389.4,63.03,6556,88,17,0,61.59,0.801,10.3206
32,59.37,3.273,5.43,1419.5,77.93,26317,56,0,0,65.93,0.9042,10.9337
19,61.7,2.82,6.12,1756.8,41.06,34289,75,12,0,61.7,0.0,10.0817
41,59.1,0.834,5.49,1648.5,55.42,17043,22,7,0,68.73,1.3838,10.765
42,95.08,1.803,2.06,2301.9,69.23,5987,63,17,1,80.1,0.8443,46.1553
6,61.18,3.11,5.0,1436.6,47.03,28314,71,2,0,63.66,1.0147,12.236
39,68.76,1.86,4.33,1392.4,54.95,34289,15,13,0,68.76,0.0,15.8799
48,70.77,1.042,5.01,1738.9,54.0,29757,115,7,0,70.77,0.0,14.1257
11,85.92,1.37,5.6,1786.9,67.38,39805,84,14,0,85.92,0.0,15.3429
30,103.35,5.552,2.24,1487.8,58.14,31016,90,2,1,69.74,1.8839,46.1384
7,96.29,26.175,4.8,1024.6,54.31,2885,118,6,1,81.01,16.6255,20.0604
38,66.04,2.768,5.18,1558.1,60.31,28177,81,13,0,66.04,0.0,12.749
19,70.3,2.867,6.47,1674.6,53.97,34216,75,12,0,66.0,0.0332,10.8655
4,67.27,1.51,6.36,1782.9,58.67,31539,45,1,0,77.4,5.2418,10.577
20,63.0,0.988,6.93,1790.1,36.07,24616,31,3,0,63.59,1.0621,9.0909
10,67.66,1.111,4.87,1229.7,55.08,31003,81,9,0,59.65,1.1377,13.8932
49,65.73,5.379,6.08,1415.1,65.84,35308,62,5,0,58.24,2.3179,10.8109
42,74.34,3.176,4.61,1648.5,42.71,5785,63,17,0,78.18,0.7464,16.1258
38,59.12,1.875,5.89,1462.5,58.51,28192,81,13,0,62.58,0.6314,10.0374
8,66.38,2.2,5.2,1830.8,61.0,39707,98,4,0,66.38,0.0,12.7654
40,84.78,1.644,6.07,1637.3,64.94,39235,23,8,0,69.12,0.0106,13.9671
9,61.07,1.846,5.24,1348.6,47.99,28514,28,7,0,61.07,0.0,11.6546
31,65.95,4.144,4.44,1662.2,63.73,8340,56,3,0,67.11,1.8625,14.8536
23,71.12,1.132,5.92,1381.0,64.29,6411,25,12,0,71.12,0.0,12.0135
37,57.0,1.148,5.47,1782.5,50.37,14483,91,13,0,57.0,0.0,10.4205
42,67.36,1.596,5.62,1080.8,53.17,5590,63,17,0,75.47,0.8085,11.9858
29,65.41,4.036,5.54,1418.1,47.95,36773,18,13,0,69.52,0.2906,11.8069
19,57.34,1.051,5.84,1545.5,45.32,34006,75,12,0,63.11,1.0352,9.8185
42,74.94,5.001,5.56,1534.7,71.33,5586,63,17,0,75.37,1.3604,13.4784
1,75.76,3.109,5.71,1455.1,43.26,2618,74,9,0,70.53,0.6025,13.268
29,73.09,1.381,6.45,1397.8,62.68,36964,18,13,0,70.71,1.4291,11.3318
14,86.65,15.761,5.33,1600.7,63.67,32807,41,2,1,86.65,0.0,16.257
15,73.7,1.031,5.45,2038.7,62.18,12749,110,16,0,73.7,0.0,13.5229
23,72.68,4.713,6.33,1136.5,64.63,6350,25,12,0,71.9,2.5321,11.4818
9,71.65,1.686,4.35,1572.1,47.2,28729,28,7,0,66.36,0.1131,16.4713
30,49.26,2.442,5.81,1591.0,68.32,30770,90,2,0,65.64,1.6957,8.4785
18,78.5,2.414,5.44,1565.4,55.57,32737,65,18,0,72.84,0.9617,14.4301
2,77.78,2.224,6.83,1250.5,46.52,6641,88,17,0,65.64,0.6717,11.388
17,73.15,1.132,5.77,1704.8,46.59,49150,49,0,0,78.26,2.8862,12.6776
12,73.35,1.255,6.97,1619.4,67.6,32328,111,6,0,73.35,0.0,10.5237
18,73.97,4.756,6.93,1771.9,85.47,32737,65,18,0,73.22,1.8726,10.6739
20,54.02,1.205,7.42,1191.0,46.67,24986,31,3,0,60.4,0.8118,7.2803
37,75.05,3.058,5.58,1756.0,48.99,14613,91,13,0,66.03,1.3506,13.4498
38,107.93,9.387,2.12,1671.2,80.68,28380,81,13,1,77.7,4.1036,50.9104
37,71.15,2.31,6.38,1197.0,60.62,14488,91,13,0,67.73,0.9624,11.152
47,65.31,1.079,5.9,1503.7,53.09,17975,55,7,0,69.87,1.0433,11.0695
41,73.95,3.646,5.26,1475.8,59.89,16752,22,7,0,70.47,1.4415,14.0589
16,68.67,1.96,3.88,1909.9,55.03,3051,83,12,0,65.32,0.4165,17.6985
17,93.11,6.872,2.37,1969.6,53.0,48828,49,0,1,81.98,2.8195,39.2869
15,57.04,3.053,5.84,1697.8,79.21,12509,110,16,0,65.37,1.4298,9.7671
32,67.69,1.161,5.56,1687.3,70.71,26115,56,0,0,66.37,0.9628,12.1745
34,70.61,2.613,4.43,1690.5,62.02,36857,12,19,0,65.95,0.6869,15.9391
31,65.92,3.038,4.94,1733.7,39.18,8355,56,3,0,66.71,1.3226,13.3441
7,64.87,2.479,4.54,1168.8,57.67,3044,118,6,0,75.63,13.6281,14.2885
26,94.92,5.294,2.94,1438.7,75.01,12052,95,13,1,94.92,0.0,32.2857
10,61.64,3.283,5.17,1593.9,46.3,31294,81,9,0,60.31,1.1272,11.9226
48,74.55,2.155,5.33,1666.6,52.84,29850,115,7,0,72.66,0.787,13.9869
43,101.77,15.148,2.64,1380.3,69.97,22256,106,18,1,71.74,7.5985,38.5492
16,69.08,2.296,6.14,1594.1,46.08,3424,83,12,0,66.57,0.4682,11.2508
33,58.87,1.388,6.15,1579.1,63.44,17772,109,0,0,61.79,0.2718,9.5724
14,63.88,3.904,4.75,1454.3,51.3,33022,41,2,0,75.26,8.3842,13.4484
21,59.9,2.05,4.47,1443.1,54.94,41322,7,11,0,70.23,0.1266,13.4004
18,57.53,0.92,5.37,1359.9,35.87,32792,65,18,0,69.3,1.7796,10.7132
48,67.78,0.991,5.4,1371.1,67.07,29812,115,7,0,71.03,0.6578,12.5519
38,54.62,2.678,6.34,1428.0,54.37,28587,81,13,0,71.93,3.4965,8.6151
12,66.34,0.61,5.12,1337.2,41.87,32413,111,6,0,69.84,0.4561,12.957
18,75.74,10.106,4.29,1670.3,103.34,32737,65,18,1,70.59,3.8217,17.655
46,60.16,3.51,6.23,1603.7,53.34,11064,19,9,0,64.04,1.0904,9.6565
26,64.78,1.25,5.22,1420.5,30.51,11738,95,13,0,79.85,2.8595,12.41
8,68.29,1.393,6.22,1376.7,56.57,39687,98,4,0,67.34,0.5706,10.9791
50,86.49,1.612,3.89,1311.8,17.68,22417,21,3,0,86.49,0.0,22.2339
48,78.03,2.713,5.81,1660.0,57.01,29890,115,7,0,72.78,0.8498,13.4303
41,70.34,0.918,5.33,1258.0,51.85,16894,22,7,0,70.44,1.3972,13.197
33,74.94,2.819,2.28,2287.7,87.71,17768,109,0,1,65.08,0.6048,32.8684
12,83.33,1.873,5.58,1521.7,63.36,32235,111,6,0,74.34,0.6315,14.9337
22,69.12,0.916,5.36,1458.5,72.2,25260,35,6,0,69.12,0.0,12.8955
42,77.71,6.553,3.74,1974.7,81.64,5771,63,17,1,75.76,1.9201,20.7781
44,71.52,2.521,6.09,1260.8,45.39,15426,41,3,0,75.54,2.8093,11.7438
39,59.98,1.82,5.6,1556.1,64.8,34205,15,13,0,64.37,0.0283,10.7107
2,57.24,2.829,4.94,1663.5,70.57,6628,88,17,0,63.96,0.6055,11.587
45,64.33,1.053,5.73,1385.0,59.49,928,30,11,0,74.08,0.3932,11.2269
34,61.92,2.262,5.61,1396.2,50.87,37013,12,19,0,64.94,0.5621,11.0374
39,67.67,1.8,5.73,1755.1,52.89,34230,15,13,0,65.47,0.0306,11.8098
11,61.57,3.003,4.55,1574.3,79.06,39844,84,14,0,73.74,1.1547,13.5319
30,58.75,1.792,4.58,1426.3,67.69,30691,90,2,0,64.49,1.6321,12.8275
23,74.38,1.645,5.86,1621.5,50.04,6222,25,12,0,72.73,1.9365,12.6928
28,81.42,1.542,5.22,1266.9,45.63,48007,40,2,0,68.77,0.4623,15.5977
11,66.57,2.062,5.41,1509.0,56.44,39750,84,14,0,71.35,0.8197,12.305
4,86.76,1.114,4.34,1085.0,76.8,31514,45,1,0,80.52,4.3987,19.9908
13,66.03,1.025,7.08,1635.3,68.9,47122,72,9,0,66.03,0.0,9.3263
37,73.74,1.847,4.74,1745.9,37.9,14572,91,13,0,69.24,0.8025,15.557
39,74.61,3.855,5.99,1104.9,53.01,34033,15,13,0,67.76,1.0145,12.4558
34,86.9,5.499,2.93,2082.7,68.08,36864,12,19,1,69.33,1.5514,29.6587
34,68.53,2.684,5.51,1563.9,49.03,36827,12,19,0,69.2,1.3895,12.4374
35,59.74,4.02,7.07,1373.7,41.07,8403,57,10,0,67.1,1.2025,8.4498
2,64.39,2.165,4.4,1435.5,45.28,6564,88,17,0,64.03,0.5615,14.6341
22,69.68,1.475,5.98,1377.6,43.5,25024,35,6,0,69.4,0.3953,11.6522
45,86.98,5.497,1.74,1019.5,73.14,1105,30,11,1,78.38,2.7404,49.9885
48,60.57,3.682,6.98,1471.8,49.86,29774,115,7,0,70.34,1.1434,8.6777
17,68.06,4.559,6.22,1518.8,71.58,49208,49,0,0,79.19,2.4418,10.9421
16,78.93,1.225,4.8,1579.8,40.85,3149,83,12,0,69.66,0.502,16.4438
44,103.05,14.526,1.41,1713.5,85.15,15440,41,3,1,84.71,6.1158,73.0851
14,64.98,6.869,4.78,1578.5,62.51,33150,41,2,0,71.84,6.1705,13.5941
47,66.18,2.166,4.61,1509.3,65.79,17926,55,7,0,68.95,0.8602,14.3557
21,72.54,0.855,5.27,1484.2,33.05,41267,7,11,0,71.0,0.747,13.7647
26,54.25,2.725,4.58,1326.7,56.56,12111,95,13,0,71.32,2.0465,11.845
19,69.22,3.082,5.75,1460.1,66.9,34250,75,12,0,64.64,0.9429,12.0383
39,67.87,5.365,4.8,1176.0,44.12,34015,15,13,0,67.78,1.6154,14.1396
23,67.12,3.065,5.27,1176.5,52.92,6338,25,12,0,71.32,1.6064,12.7362
3,64.88,2.103,5.51,1216.1,69.35,50203,40,16,0,64.88,0.0,11.775
12,72.03,1.884,4.78,1097.8,67.13,32539,111,6,0,73.76,0.6064,15.069
15,60.26,2.72,5.09,1560.0,41.8,12837,110,16,0,63.67,1.0841,11.8389
46,54.79,1.084,5.08,1255.8,51.9,11158,19,9,0,62.19,1.024,10.7854
13,67.21,2.557,6.94,1438.6,43.63,46828,72,9,0,66.62,1.0833,9.6844
42,69.09,1.767,6.61,1752.0,38.03,5835,63,17,0,74.8,1.874,10.4523
41,105.67,4.063,2.97,1817.9,79.71,16651,22,7,1,77.48,1.5089,35.5791
26,75.45,3.135,4.03,1728.0,53.74,12083,95,13,0,72.35,1.6711,18.7221
36,71.1,1.235,5.89,1563.1,57.57,32573,32,13,0,71.1,0.0,12.0713
32,74.77,1.242,6.86,1160.0,65.0,25923,56,0,0,68.05,0.9156,10.8994
48,96.12,2.823,5.02,1190.7,113.22,30047,115,7,1,74.64,1.0626,19.1474
28,74.64,2.664,6.09,1252.4,55.69,47846,40,2,0,69.94,0.521,12.2562
35,66.15,8.032,5.23,1338.5,58.68,8482,57,10,0,66.86,2.6845,12.6482
22,77.06,1.539,5.72,1548.8,67.03,25005,35,6,0,71.95,0.3427,13.472
5,60.93,3.281,5.75,1440.5,53.38,31117,49,5,0,64.31,0.9599,10.5965
18,68.29,1.453,4.6,1654.4,39.78,32864,65,18,0,70.2,3.5556,14.8457
37,70.33,0.687,6.43,1685.2,58.15,14432,91,13,0,69.45,0.9365,10.9378
28,64.41,1.124,6.44,1518.8,41.56,48017,40,2,0,69.02,0.6046,10.0016
25,76.08,3.316,7.2,1611.0,70.04,8840,25,2,0,65.65,0.6199,10.5667
47,82.83,1.676,4.91,1363.1,86.8,17711,55,7,0,71.73,0.7578,16.8697
43,80.26,6.944,5.8,1324.9,62.64,22055,106,18,0,73.87,6.209,13.8379
13,75.27,1.896,5.8,1904.9,56.22,47030,72,9,0,69.5,0.7684,12.9776
36,83.0,1.41,5.62,1386.9,66.89,32665,32,13,0,77.05,0.1237,14.7687
45,60.87,4.207,5.71,1897.8,71.22,1056,30,11,0,74.0,2.4227,10.6602
44,73.43,0.757,6.44,1402.8,51.61,15634,41,3,0,81.89,6.1239,11.4022
31,80.74,2.536,5.81,1395.4,63.52,8382,56,3,0,70.22,1.0949,13.8967
2,65.23,4.485,6.02,1561.4,52.2,6966,88,17,0,64.2,0.9187,10.8355
24,69.4,2.34,4.55,1499.1,35.61,2467,86,13,0,73.65,0.0651,15.2527
43,63.01,3.249,5.2,1793.6,54.46,22350,106,18,0,71.7,5.5791,12.1173
5,95.83,18.405,4.63,2426.1,65.53,31219,49,5,1,70.61,7.3774,20.6976
21,66.64,5.344,7.37,1946.3,51.21,41602,7,11,0,69.91,1.916,9.0421
21,59.79,1.672,5.35,1461.0,31.13,41145,7,11,0,67.89,1.7126,11.1757
2,59.36,1.453,5.87,1288.9,47.1,6607,88,17,0,63.6,0.9673,10.1124
9,64.14,2.808,6.42,1255.3,50.87,28598,28,7,0,65.62,0.6069,9.9907
24,74.86,3.371,5.78,1184.3,60.92,2613,86,13,0,74.05,0.5705,12.9516
26,61.76,2.423,5.59,1425.5,58.1,11850,95,13,0,70.23,1.4787,11.0483
45,61.49,1.348,6.04,1688.6,55.87,1377,30,11,0,71.5,2.1981,10.1805
31,65.01,2.602,4.84,1336.2,34.04,8521,56,3,0,69.18,0.9527,13.4318
4,58.33,2.421,3.61,1409.6,37.29,31901,45,1,0,74.97,3.6618,16.1579
15,64.71,2.511,5.05,1530.2,42.0,12527,110,16,0,63.93,0.8935,12.8139
25,66.82,2.41,6.81,1240.6,66.96,8905,25,2,0,65.94,0.5307,9.812
43,68.53,0.858,6.61,1351.0,50.94,22187,106,18,0,71.17,5.3996,10.3676
3,80.34,4.133,5.23,1401.6,46.86,50173,40,16,0,72.61,1.4354,15.3614
1,76.65,2.186,6.48,1836.0,66.82,2446,74,9,0,72.57,0.5136,11.8287
19,64.66,1.851,4.14,1480.3,79.94,34137,75,12,0,64.64,0.8601,15.6184
24,67.74,2.516,6.0,1414.7,70.56,2521,86,13,0,72.47,0.4763,11.29
6,67.59,1.477,5.23,1804.5,47.04,28537,71,2,0,64.97,0.8912,12.9235
46,74.98,1.273,6.34,1423.7,68.38,11227,19,9,0,64.32,0.9401,11.8265
32,54.71,3.034,6.93,1574.4,70.49,25960,56,0,0,65.82,0.937,7.8947
10,64.9,1.615,4.77,1617.4,30.28,31170,81,9,0,61.46,0.995,13.6059
15,61.5,2.259,6.68,1478.2,75.26,12587,110,16,0,63.44,0.7744,9.2066
28,57.13,3.082,6.57,1751.4,65.5,48037,40,2,0,67.32,0.7076,8.6956
37,51.83,1.567,7.17,1308.1,80.08,14507,91,13,0,66.52,0.8435,7.2287
49,73.9,5.143,3.85,1407.5,47.17,35164,62,5,0,63.46,1.8282,19.1948
45,62.65,2.165,4.49,1695.1,65.89,1040,30,11,0,70.02,1.9714,13.9532
11,66.84,1.347,5.72,1164.5,30.41,39848,84,14,0,70.22,0.7792,11.6853
44,74.41,1.39,6.14,1534.0,58.89,15607,41,3,0,80.39,5.7023,12.1189
3,65.92,3.237,6.93,1229.5,43.36,49935,40,16,0,70.38,1.0173,9.5123
10,75.33,3.587,5.82,1456.5,31.49,31166,81,9,0,64.23,1.0664,12.9433
16,67.14,0.974,4.79,1286.1,59.91,3156,83,12,0,69.16,0.5461,14.0167
44,67.63,1.485,4.41,1333.9,31.89,15460,41,3,0,78.27,5.3138,15.3356
2,59.59,5.185,6.09,1401.1,47.49,6920,88,17,0,63.15,1.251,9.7849
4,72.37,1.899,3.05,1293.9,39.72,31534,45,1,0,74.45,3.2502,23.7279
6,73.91,3.449,6.53,1321.1,53.41,28559,71,2,0,67.2,0.9965,11.3185
13,62.62,2.306,6.14,1389.5,53.1,46679,72,9,0,67.78,0.6717,10.1987
16,54.43,4.675,5.37,1251.1,50.41,3436,83,12,0,66.7,1.3603,10.1359
14,62.7,3.616,6.85,1537.7,61.16,32857,41,2,0,69.55,5.6761,9.1533
3,72.84,3.164,5.05,1460.3,29.49,50401,40,16,0,71.0,0.8306,14.4238
37,68.12,7.476,5.07,1588.0,55.18,14426,91,13,0,66.75,2.2902,13.4359
20,67.1,1.199,5.59,1970.4,45.53,24908,31,3,0,62.08,0.6871,12.0036
23,92.13,3.391,4.74,1801.3,93.63,6195,25,12,1,75.49,1.4313,19.4367
50,66.24,1.409,5.26,1434.4,31.12,22559,21,3,0,76.36,0.1435,12.5932
7,71.77,2.868,5.52,1219.8,58.52,2847,118,6,0,74.67,11.7536,13.0018
14,71.93,2.831,4.7,1641.2,61.55,33195,41,2,0,70.03,5.3473,15.3043
2,57.51,4.564,5.15,1506.3,59.22,6810,88,17,0,62.59,1.294,11.167
19,56.21,1.189,6.34,1749.8,56.32,34179,75,12,0,63.24,0.9002,8.8659
31,70.67,2.182,5.69,1847.5,52.59,8267,56,3,0,69.43,0.8848,12.42
49,77.71,3.213,5.31,1192.1,61.12,35301,62,5,0,67.02,1.5734,14.6347
48,70.16,0.947,4.19,1536.2,66.4,29915,115,7,0,74.0,1.0852,16.7446
33,72.22,2.227,4.76,1257.3,67.64,17491,109,0,0,66.5,0.5358,15.1723
1,59.29,1.144,4.85,1318.6,56.01,2283,74,9,0,69.25,0.8046,12.2247
44,65.25,1.454,5.74,1636.9,59.2,15252,41,3,0,76.41,4.9881,11.3676
12,69.54,2.105,4.34,1227.3,54.91,32474,111,6,0,72.92,0.6112,16.023
49,63.29,2.31,4.8,1856.4,55.87,34940,62,5,0,66.27,1.5494,13.1854
19,82.35,1.798,3.38,1894.9,57.77,34192,75,12,1,65.97,0.8321,24.3639
17,81.8,2.163,5.36,1732.5,69.0,48906,49,0,0,79.63,2.3918,15.2612
45,67.97,2.374,3.29,1385.1,60.12,921,30,11,0,69.73,1.7999,20.6596
1,58.88,5.331,4.75,1137.4,51.32,2611,74,9,0,67.17,1.5744,12.3958
48,59.37,2.709,6.13,1413.9,70.6,29770,115,7,0,72.17,1.0313,9.6852
23,63.61,1.65,5.58,1367.9,70.97,6593,25,12,0,73.51,1.3621,11.3996
50,61.76,1.541,5.8,1356.8,47.84,22332,21,3,0,71.5,0.103,10.6483
36,56.72,2.983,6.21,1233.5,57.69,32457,32,13,0,70.27,0.9627,9.1337
7,51.98,0.924,5.88,1188.5,60.1,3029,118,6,0,70.13,10.7345,8.8401
40,72.14,3.15,5.95,1113.9,63.2,39452,23,8,0,70.12,0.8739,12.1244
28,68.26,3.142,4.35,1358.0,68.0,47936,40,2,0,67.44,0.7555,15.692
27,80.88,2.448,6.58,1458.7,52.12,2355,52,16,0,80.24,0.6703,12.2918
25,57.31,4.781,4.48,1805.7,79.6,9076,25,2,0,64.22,1.0582,12.7924
39,63.57,2.586,6.68,1289.9,43.24,34426,15,13,0,67.08,1.4521,9.5165
40,70.65,2.638,4.63,1353.0,76.08,39204,23,8,0,70.26,0.7555,15.2592
37,55.76,2.523,4.79,1065.6,48.75,14605,91,13,0,65.37,2.1204,11.6409
1,55.77,2.867,6.4,1482.8,49.49,2264,74,9,0,65.27,1.4084,8.7141
18,58.44,1.713,6.6,1831.7,41.5,33111,65,18,0,68.52,3.3116,8.8545
49,63.31,1.535,6.23,1430.3,58.6,35325,62,5,0,65.78,1.6283,10.1621
25,68.43,2.659,4.71,1608.0,55.52,8979,25,2,0,64.92,0.9616,14.5287
14,73.44,2.296,5.82,1934.6,58.41,32860,41,2,0,70.6,5.0948,12.6186
21,69.35,1.731,4.09,1429.9,49.57,41272,7,11,0,68.13,1.5581,16.956
3,81.22,3.678,6.66,1349.7,44.7,50105,40,16,0,73.04,0.7558,12.1952
10,75.99,12.894,4.38,1516.4,104.87,31065,81,9,1,66.19,4.3639,17.3493
13,70.09,3.893,4.73,1350.0,67.07,46978,72,9,0,68.24,1.0472,14.8182
3,68.77,2.097,4.35,1341.3,65.18,50358,40,16,0,72.33,0.8268,15.8092
27,60.59,1.601,4.26,1765.3,66.04,2079,52,16,0,73.69,0.5206,14.223
35,75.89,1.822,5.83,1332.4,50.56,8350,57,10,0,68.67,2.5724,13.0172
1,70.9,1.356,3.9,1063.3,42.91,2276,74,9,0,66.08,1.3991,18.1795
17,73.65,2.655,5.66,1242.6,47.98,48981,49,0,0,78.77,2.2557,13.0124
2,51.4,4.006,5.22,1372.7,39.9,6683,88,17,0,61.57,1.261,9.8467
4,68.22,0.636,5.69,1623.8,60.38,31529,45,1,0,73.42,3.0861,11.9895
31,72.71,8.114,5.06,1691.0,35.31,8607,56,3,0,69.9,2.211,14.3696
43,63.45,1.644,5.51,1729.9,46.04,22374,106,18,0,70.07,5.0962,11.5154
35,65.58,1.652,5.19,1647.3,37.34,8085,57,10,0,68.15,2.4611,12.6358
41,60.59,2.73,6.55,1269.0,61.2,17059,22,7,0,74.67,1.3544,9.2504
6,70.2,1.199,4.71,1378.2,36.96,28304,71,2,0,67.8,1.0231,14.9045
5,66.36,0.737,6.49,1172.8,59.97,31531,49,5,0,69.9,6.8555,10.225
7,77.02,1.208,4.72,1647.5,49.99,2751,118,6,0,71.28,9.8903,16.3178
21,66.25,3.151,5.37,1748.9,48.56,41273,7,11,0,67.86,1.4572,12.3371
48,63.76,1.527,3.85,1789.6,56.05,30029,115,7,0,71.23,0.9856,16.561
50,61.99,3.146,2.06,1482.5,90.75,22097,21,3,1,69.12,0.817,30.0922
18,62.41,1.51,4.42,1283.1,62.09,32822,65,18,0,67.76,3.1237,14.1199
28,51.84,3.918,4.86,1458.2,55.05,47915,40,2,0,65.71,0.9073,10.6667
26,64.98,7.19,4.79,1516.7,62.5,11872,95,13,0,69.36,2.1734,13.5658
27,104.4,22.584,2.29,1531.7,74.86,2117,52,16,1,81.37,10.3759,45.5895
40,80.34,5.625,4.66,1616.9,61.19,39277,23,8,0,72.27,1.6388,17.2403
18,79.36,2.642,4.84,1468.5,71.31,32750,65,18,0,69.05,2.9243,16.3967
37,74.53,1.738,5.69,1366.3,33.63,14328,91,13,0,66.39,2.0031,13.0984
8,72.83,2.379,6.0,1618.9,58.68,39575,98,4,0,69.17,0.5253,12.1383
47,62.01,1.372,5.07,1558.1,85.05,17760,55,7,0,70.11,0.7143,12.2308
26,64.6,1.1,5.62,1199.5,57.12,11922,95,13,0,68.68,2.209,11.4947
9,56.78,1.735,4.92,1525.2,52.7,28511,28,7,0,63.41,0.5304,11.5407
37,72.54,7.667,6.21,1414.3,73.46,14670,91,13,0,67.0,2.5006,11.6812
14,66.42,4.613,6.36,1322.5,73.12,32945,41,2,0,70.0,4.6754,10.4434
35,64.28,3.255,6.08,1239.0,39.81,8514,57,10,0,67.6,2.2477,10.5724
9,60.1,1.233,5.88,1470.6,34.51,28522,28,7,0,62.75,0.5783,10.2211
41,72.95,5.612,5.37,1614.5,61.42,16998,22,7,0,74.42,1.7073,13.5847
3,58.42,2.506,5.24,1328.9,63.54,50092,40,16,0,70.34,0.7842,11.1489
18,86.73,7.73,2.64,1455.9,82.92,32971,65,18,1,70.82,3.1439,32.8523
