gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),107.33,1733.23,0
Female,0,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.14,2325.62,0
Female,0,Yes,Yes,6,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,114.97,614.53,0
Female,0,No,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),51.96,1385.9,1
Female,0,No,Yes,40,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,49.48,1995.9,0
Female,1,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,52.47,3783.36,0
Female,0,No,No,68,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,18.0,1176.42,0
Female,1,Yes,Yes,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,52.12,1114.9,0
Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,104.13,3313.29,0
Male,0,Yes,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,79.12,1194.64,0
Female,0,Yes,Yes,20,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),71.63,1416.8,0
Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,75.32,5378.51,0
Female,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,102.64,7424.47,0
Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),38.46,2616.83,0
Female,0,No,No,4,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),91.92,355.31,0
Male,0,Yes,No,60,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,66.8,3959.36,0
Male,0,Yes,Yes,72,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),41.28,2972.59,0
Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.71,1219.62,0
Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,67.31,1631.95,1
Male,0,Yes,No,48,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.6,1923.96,0
Female,1,No,No,26,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,32.71,841.29,0
Female,0,No,Yes,72,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.75,3684.34,1
Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),49.47,932.38,0
Female,0,Yes,Yes,40,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,101.43,4093.96,0
Female,0,No,No,50,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,58.37,2852.94,0
Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),53.61,1204.09,0
Female,0,No,No,62,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.66,6162.9,0
Female,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,105.29,2675.79,0
Male,0,No,No,16,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,39.86,656.82,1
Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.49,37.28,0
Male,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),80.26,1254.46,0
Female,1,Yes,No,42,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,58.58,2444.31,1
Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.44,3403.5,0
Female,1,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,95.95,867.52,1
Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),56.98,739.8,0
Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),118.0,559.75,0
Male,0,No,No,37,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,66.23,2485.87,0
Male,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,69.72,5014.13,0
Male,0,No,No,32,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,118.0,3774.13,0
Male,0,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,74.09,2281.1,0
Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),43.61,977.51,0
Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),34.19,124.62,0
Male,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,50.94,2096.01,0
Female,0,No,No,29,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,71.88,2081.08,0
Female,0,No,No,34,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,92.13,3130.54,0
Male,0,Yes,Yes,72,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),19.68,1448.71,0
Female,0,No,No,49,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,64.89,3231.14,0
Female,1,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),103.16,4939.98,1
Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,72.67,5225.2,0
Female,1,No,No,72,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),105.48,7624.73,0
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),19.56,423.25,0
Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.0,169.07,0
Male,0,Yes,No,19,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.41,1324.77,0
Female,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,81.4,3963.69,1
Female,1,No,Yes,0,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.26,0.0,1
Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.28,69.66,0
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),79.62,129.99,0
Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),62.59,2616.7,0
Male,0,No,No,22,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),78.9,1712.15,1
Female,1,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,74.29,1118.13,0
Male,0,Yes,No,3,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),45.05,78.17,0
Female,0,Yes,No,42,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),60.06,2564.11,0
Male,0,No,Yes,12,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,27.33,298.61,0
Male,0,No,Yes,9,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),19.92,195.6,0
Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),72.43,2422.54,1
Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,544.52,1
Female,0,No,No,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),57.54,825.27,0
Female,0,Yes,No,32,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.2,2450.65,0
Female,0,Yes,No,10,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.29,656.22,0
Female,0,No,No,50,No,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),118.0,5995.92,0
Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,77.6,629.0,1
Female,0,No,No,5,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.74,218.32,1
Female,0,Yes,Yes,48,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.04,3966.82,0
Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.44,971.52,1
Female,0,Yes,No,6,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.81,605.33,0
Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),49.65,87.85,0
Female,0,No,No,58,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.0,5658.41,1
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.81,3620.76,0
Male,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,83.57,988.81,0
Female,0,Yes,No,34,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),48.18,1642.81,0
Female,0,No,No,4,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,30.46,129.21,0
Female,0,No,No,22,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,29.93,669.08,0
Female,0,Yes,No,0,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,0.0,1
Female,0,No,No,15,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,53.3,839.33,0
Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,47.18,67.59,0
Female,0,No,No,20,No,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,95.15,1902.51,0
Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,33.79,513.87,0
Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,118.0,2125.99,0
Female,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,34.75,44.26,0
Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.58,527.87,1
Female,0,No,Yes,45,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,20.4,878.98,0
Female,0,Yes,Yes,14,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),65.09,967.67,0
Male,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.14,2234.88,1
Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,61.56,854.95,0
Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,77.01,1301.7,0
Female,0,No,Yes,26,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,94.28,2414.36,0
Female,1,No,Yes,72,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),29.71,2107.63,0
Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,65.39,269.01,1
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.46,72.54,1
Male,1,No,No,29,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.98,1065.5,0
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),118.0,8438.02,0
Male,1,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),118.0,8514.44,1
Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,62.55,1324.77,0
Female,1,No,Yes,20,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,31.6,633.82,0
Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,35.46,1090.64,0
Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,71.81,1726.74,0
Female,0,No,No,32,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,83.99,2697.51,0
Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,18.0,1136.8,0
Female,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,36.42,1626.52,1
Male,0,No,Yes,21,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,69.05,1438.94,0
Male,0,Yes,Yes,19,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.67,443.44,0
Male,0,No,No,32,No,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,55.89,1786.39,0
Male,0,No,No,19,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),77.74,1473.57,1
Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),59.94,1214.89,0
Male,1,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),42.77,54.22,0
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,67.41,412.18,1
Male,1,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.01,1713.89,0
Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,37.17,2103.26,0
Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,75.13,721.41,0
Male,0,Yes,No,23,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),74.54,1636.58,0
Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),80.38,1072.53,0
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,72.69,280.36,0
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),68.7,4860.82,0
Male,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),60.12,3637.07,0
Male,1,No,Yes,2,No,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,55.83,99.58,0
Male,0,Yes,Yes,40,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.49,3410.47,0
Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),61.94,797.94,1
Female,0,No,No,72,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,80.85,5765.71,0
Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),80.38,868.26,1
Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,36.61,327.82,0
Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,55.24,1332.78,0
Male,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.21,3550.69,0
Male,0,No,Yes,6,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.5,475.05,0
Female,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.68,2988.22,0
Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,70.16,10.39,0
Female,1,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,66.06,4764.79,0
Male,0,Yes,No,2,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,51.74,99.75,0
Female,0,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.51,6955.97,0
Male,0,Yes,Yes,21,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),75.23,1582.6,0
Male,1,No,No,19,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.44,1230.95,0
Female,0,No,No,72,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),53.11,3788.86,0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,73.2,5265.37,0
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),65.69,2146.07,0
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),19.08,110.15,0
Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.08,810.71,0
Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,103.94,2513.12,0
Male,0,No,No,23,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,75.91,1853.7,0
Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),45.61,1213.49,0
Female,0,No,Yes,0,No,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,53.61,62.75,1
Male,0,No,Yes,39,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,38.94,1474.43,0
Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),49.06,1878.45,0
Female,0,No,Yes,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,95.54,385.62,1
Female,1,No,No,27,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),59.37,1535.25,0
Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.8,2373.09,0
Male,0,No,Yes,36,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,113.63,4155.02,1
Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.95,164.67,0
Male,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.95,724.59,0
Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),77.79,760.34,0
Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.19,915.31,0
Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,64.82,3083.56,0
Female,0,No,No,39,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,69.86,2723.92,0
Male,0,No,Yes,4,Yes,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.0,437.19,1
Male,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.49,2071.96,1
Male,0,No,No,72,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,51.09,3647.35,0
Female,0,No,No,5,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,83.58,355.74,1
Male,0,Yes,Yes,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.25,5429.58,1
Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,100.95,3928.39,0
Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),37.11,1730.38,0
Male,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,103.53,959.64,1
Male,0,No,No,10,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,118.0,1162.07,0
Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,102.86,7492.19,0
Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),108.32,1436.77,0
Male,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),51.76,103.47,0
