gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,62.19,1463.39,0
Male,0,No,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),93.58,410.29,0
Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.72,75.32,1
Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.49,306.75,1
Male,0,Yes,Yes,0,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.52,60.94,0
Female,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),112.73,1258.91,0
Female,0,No,No,7,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),118.0,805.07,1
Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,82.76,1050.91,1
Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,90.51,3235.12,0
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),25.49,73.41,0
Male,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),109.14,668.25,0
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,48.34,48.35,0
Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.72,479.65,0
Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.26,2217.24,0
Female,0,Yes,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.3,452.07,0
Female,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.64,637.6,0
Male,0,Yes,Yes,3,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,77.78,162.21,0
Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,71.08,2537.46,0
Male,0,Yes,No,4,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.22,81.55,0
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,46.14,2.21,0
Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),68.59,2302.8,0
Male,0,Yes,No,7,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),35.52,238.34,1
Female,0,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,90.85,458.13,0
Male,1,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.96,1293.9,0
Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),103.64,310.39,1
Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),56.94,29.11,1
Male,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.0,444.17,0
Male,0,No,Yes,36,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,100.23,3559.5,0
Female,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,45.71,1125.25,0
Male,1,No,No,36,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.83,3699.63,0
Female,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.0,4271.48,0
Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),83.01,221.47,0
Female,0,No,No,7,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,94.53,618.14,0
Male,0,No,No,15,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.38,1221.72,1
Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),69.8,60.95,0
Female,1,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,48.76,956.37,0
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,92.8,603.95,1
Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),66.84,580.4,0
Male,1,No,No,8,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),64.8,491.69,0
Male,1,No,No,7,No,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,68.95,589.96,1
Male,0,No,Yes,4,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,80.53,380.86,0
Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),107.32,271.77,1
Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),106.18,676.32,1
Female,0,No,No,2,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.56,157.06,0
Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.24,1480.16,0
Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,43.59,71.27,0
Female,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.53,186.38,0
Male,0,Yes,Yes,4,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.89,302.94,0
Female,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),34.6,343.79,0
Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),101.33,1638.29,0
Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,118.0,413.53,1
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,80.02,528.73,0
Male,1,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.13,174.21,1
Female,1,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),115.27,3242.0,0
Male,0,Yes,No,6,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),91.69,566.89,1
Male,0,No,Yes,15,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.35,537.81,0
Female,0,Yes,No,14,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,66.0,999.8,0
Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,65.72,390.58,0
Male,0,No,No,28,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,80.14,2263.19,1
Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,43.25,467.08,0
Male,1,No,No,8,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,111.4,923.67,1
Female,0,Yes,No,14,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,85.51,1207.41,0
Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),85.89,46.87,1
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,75.72,554.48,0
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,80.5,318.63,0
Male,0,Yes,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,97.55,1560.74,0
Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.27,1173.47,0
Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,102.95,3321.43,0
Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.22,0.0,0
Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,87.58,3167.45,0
Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),37.0,372.9,0
Male,1,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),83.56,493.32,0
Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),61.61,1.45,1
Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),70.13,195.4,0
Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.75,3638.98,0
Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.1,2166.5,1
Female,0,Yes,Yes,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,23.59,728.46,1
Male,0,No,Yes,36,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),90.82,3292.74,1
Male,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,83.68,781.42,1
Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,56.73,557.66,0
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),102.7,343.01,0
Male,0,Yes,Yes,4,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),108.89,523.73,1
Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,54.92,536.21,0
Male,0,No,Yes,3,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,118.0,367.13,0
Male,0,No,Yes,7,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.66,567.58,1
Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.95,679.74,0
Female,0,Yes,No,18,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.58,1042.24,0
Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,71.39,1221.1,0
Male,0,No,No,9,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),39.35,377.32,0
Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),71.25,1281.59,0
Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.19,877.44,0
Female,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,58.5,1879.36,0
Male,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,74.35,2573.4,0
Male,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,70.13,1179.55,1
Male,0,No,No,0,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,81.93,0.0,1
Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),47.12,1740.63,0
Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,73.67,342.73,0
Male,0,No,No,36,No,No,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),76.81,2786.54,0
Female,0,No,No,16,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,85.93,1351.25,1
Male,0,Yes,No,3,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,46.42,115.47,0
Male,0,Yes,Yes,8,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,105.77,848.83,1
Male,0,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),118.0,1093.99,1
Male,0,No,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),76.62,2035.46,0
Female,0,No,No,0,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),77.64,73.02,1
Female,0,No,No,27,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),93.28,2515.34,0
Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),90.98,706.44,1
Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,118.0,1401.47,1
Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),94.51,353.64,0
Male,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,18.0,639.25,0
Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,118.0,2342.02,0
Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),85.86,731.5,0
Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,43.48,1228.1,0
Female,0,Yes,No,22,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,101.12,2270.37,1
Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.2,113.38,1
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,94.96,433.18,0
Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,56.93,0.93,1
Female,0,No,Yes,5,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,52.12,233.97,0
Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),114.84,789.05,0
Female,0,Yes,Yes,11,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,107.59,1094.82,0
Male,0,No,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,96.62,2853.63,0
Female,1,No,No,13,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),70.55,942.31,0
Male,0,No,Yes,17,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),67.23,1154.66,0
Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),78.72,2264.86,0
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,50.09,683.13,0
Male,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),97.0,600.62,1
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),77.37,138.96,0
Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.95,0.0,1
Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,72.5,2278.22,0
Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,94.78,660.09,0
Male,1,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),96.67,2170.73,0
Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,102.68,183.58,0
Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,93.55,2174.42,0
Female,1,Yes,No,18,No,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),57.06,1028.35,0
Male,0,No,Yes,36,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.48,3195.23,0
Female,1,No,Yes,22,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,58.76,1370.9,1
Male,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),54.82,1319.16,0
Female,0,Yes,No,9,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.12,148.01,0
Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,84.67,1573.32,0
Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,38.19,415.09,1
Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),58.17,2053.51,0
Male,1,Yes,No,3,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.27,332.95,0
Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),44.47,433.42,0
Male,1,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),53.65,564.48,0
Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.05,0.0,0
Male,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,93.61,1735.25,0
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,70.0,363.08,0
Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.81,1099.65,0
Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.43,1461.76,0
Female,0,No,No,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,64.77,702.05,0
Male,1,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,368.66,0
Female,0,Yes,No,5,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33.84,228.18,0
Female,0,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),86.25,3032.31,0
Female,0,No,No,33,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),84.24,2721.41,0
