employee_id,department,role_level,tenure_months,recognition_events_received,recognition_events_given,reward_type,monthly_recognition_frequency,avg_reward_value,peer_vs_manager_ratio,engagement_score,satisfaction_survey,absenteeism_days,is_disengaged
EMP-00034,Customer Support,Junior,5,2,3,Monetary,0.17,133.52,0.37,5.8,3.3,4,0
EMP-00035,Customer Support,Senior,69,8,2,Badge,0.67,4.06,0.71,7.0,4.6,5,0
EMP-00036,Operations,Junior,30,6,0,Badge,0.5,6.23,0.66,6.6,4.6,3,0
EMP-00037,Sales,Junior,1,5,3,Monetary,0.42,132.1,0.82,5.4,3.9,7,0
EMP-00038,Engineering,Senior,26,9,11,Badge,0.75,5.52,0.77,8.7,4.6,6,0
EMP-00039,Operations,Mid,51,5,0,Badge,0.42,3.06,0.48,6.9,4.6,12,0
EMP-00040,Sales,Manager,66,17,9,Badge,1.42,6.67,0.68,9.7,4.4,4,0
EMP-00041,Engineering,Manager,62,12,8,Monetary,1.0,165.13,0.53,8.8,4.0,4,0
EMP-00042,Sales,Junior,11,2,2,PTO,0.17,289.71,0.33,6.0,3.7,9,0
EMP-00043,Engineering,Junior,17,1,2,Monetary,0.08,112.06,0.84,4.8,2.7,9,0
EMP-00044,Customer Support,Senior,73,10,3,Badge,0.83,7.52,0.33,8.4,3.7,5,0
EMP-00045,Engineering,Mid,36,9,3,Badge,0.75,8.02,0.31,8.4,5.0,2,0
EMP-00046,Marketing,Junior,5,6,1,PTO,0.5,218.51,0.86,7.0,4.2,4,0
EMP-00047,Sales,Senior,57,9,4,PTO,0.75,144.75,0.75,7.2,4.2,4,0
EMP-00048,Marketing,Junior,68,6,2,Points,0.5,37.23,0.5,6.8,3.5,6,0
EMP-00049,Marketing,Manager,52,12,10,Points,1.0,48.99,0.58,10.0,,7,0
EMP-00050,Engineering,Junior,5,4,1,Points,0.33,32.29,0.67,5.3,3.9,10,0
EMP-00051,Customer Support,Junior,1,2,2,PTO,0.17,234.53,0.47,4.7,2.4,11,0
EMP-00052,Operations,Junior,1,3,3,Badge,0.25,2.37,0.74,6.0,4.2,8,0
EMP-00053,Customer Support,Manager,59,11,3,PTO,0.92,213.72,0.92,8.3,4.4,4,0
EMP-00054,Customer Support,Senior,45,12,5,Points,1.0,6.54,0.36,7.4,4.3,6,0
EMP-00055,Marketing,Senior,46,2,1,Monetary,0.17,170.37,0.89,7.7,3.8,5,0
EMP-00056,Customer Support,Mid,23,2,3,Monetary,0.17,63.67,0.21,6.4,3.5,4,0
EMP-00057,Engineering,Mid,33,10,2,Monetary,0.83,36.43,0.39,7.8,4.5,4,0
EMP-00058,Engineering,Junior,2,5,1,Badge,0.42,1.78,0.71,3.7,4.5,3,1
EMP-00059,Engineering,Mid,37,7,2,Badge,0.58,4.7,0.27,7.9,5.0,3,0
EMP-00060,Sales,Mid,7,6,2,PTO,0.5,60.58,0.71,6.8,4.4,4,0
EMP-00061,Sales,Mid,28,4,3,Points,0.33,6.57,0.45,6.7,4.9,3,0
EMP-00062,Engineering,Junior,3,4,2,Points,0.33,27.96,0.28,4.8,4.8,4,0
EMP-00063,Operations,Manager,62,7,6,Points,0.58,30.57,0.75,10.0,5.0,6,0
EMP-00064,Sales,Junior,1,6,3,Points,0.5,19.33,0.35,5.3,3.6,6,0
EMP-00065,Sales,Manager,31,10,3,Monetary,0.83,27.94,0.54,8.3,5.0,0,0
EMP-00066,Marketing,Junior,3,1,0,Badge,0.08,4.6,0.56,5.1,3.1,4,0
EMP-00067,Engineering,Mid,34,6,4,Monetary,0.5,185.77,0.76,7.5,4.2,6,0
EMP-00068,Operations,Mid,33,6,0,Points,0.5,26.8,0.65,7.1,4.5,7,0
EMP-00069,Engineering,Mid,46,10,6,PTO,0.83,163.34,0.16,6.5,4.7,9,0
EMP-00070,Customer Support,Mid,34,5,3,PTO,0.42,189.63,0.74,7.3,4.4,3,0
EMP-00071,Operations,Mid,42,9,3,Badge,0.75,1.65,0.45,8.3,5.0,5,0
EMP-00072,Engineering,Mid,29,7,1,Points,0.58,41.14,0.55,7.4,5.0,4,0
EMP-00073,Engineering,Senior,50,14,4,Points,1.17,6.5,0.77,9.2,5.0,3,0
EMP-00074,Operations,Senior,74,14,6,Monetary,1.17,34.85,0.73,8.7,3.7,4,0
EMP-00075,Operations,Senior,61,9,3,Points,0.75,7.53,0.59,8.2,4.3,7,0
EMP-00076,Operations,Junior,5,4,2,Points,0.33,40.67,0.35,3.7,3.4,11,1
EMP-00077,Operations,Mid,3,1,8,Monetary,0.08,89.45,0.88,5.6,3.3,4,0
EMP-00078,Engineering,Mid,28,4,1,Badge,0.33,6.43,0.49,6.3,5.0,6,0
EMP-00079,Sales,Mid,46,8,3,Badge,0.67,0.8,0.75,7.3,4.2,3,0
EMP-00080,Engineering,Mid,28,2,2,Points,0.17,39.32,0.7,6.9,4.3,5,0
EMP-00081,Customer Support,Mid,24,7,0,Badge,0.58,3.35,0.56,7.0,5.0,3,0
EMP-00082,Marketing,Junior,9,3,1,Points,0.25,14.7,0.46,5.8,4.1,5,0
EMP-00083,Sales,Junior,1,3,0,Badge,0.25,7.15,0.43,6.5,3.7,7,0
EMP-00084,Engineering,Junior,18,4,1,Points,0.33,7.9,0.9,6.3,4.0,6,0
EMP-00085,Sales,Senior,50,12,4,Badge,1.0,4.86,0.79,7.7,4.7,4,0
EMP-00086,Sales,Senior,42,11,7,Monetary,0.92,92.05,0.81,8.0,4.5,5,0
EMP-00087,Operations,Manager,23,6,6,Points,0.5,38.36,0.03,7.5,3.9,5,0
EMP-00088,Marketing,Senior,42,15,10,Badge,1.25,6.39,0.84,8.4,3.8,5,0
EMP-00089,Customer Support,Junior,3,3,2,Points,0.25,45.12,0.47,2.6,2.3,14,1
EMP-00090,Sales,Manager,39,10,7,Monetary,0.83,152.18,0.87,9.7,4.7,4,0
EMP-00091,Engineering,Senior,45,4,4,Monetary,0.33,97.74,0.38,7.4,4.3,4,0
EMP-00092,Operations,Mid,37,11,0,Badge,0.92,1.85,0.77,8.5,4.5,2,0
EMP-00093,Operations,Mid,15,6,2,Badge,0.5,4.5,0.08,6.8,4.9,3,0
EMP-00094,Marketing,Manager,46,8,12,Badge,0.67,1.67,0.09,7.4,5.0,9,0
EMP-00095,Operations,Mid,37,3,2,Badge,0.25,1.13,0.62,6.5,4.2,5,0
EMP-00096,Sales,Manager,76,11,8,PTO,0.92,62.2,1.0,9.7,4.5,5,0
EMP-00097,Marketing,Junior,3,3,3,PTO,0.25,185.54,0.87,5.3,4.1,10,0
EMP-00098,Sales,Junior,5,2,3,Points,0.17,30.48,1.0,6.8,4.1,6,0
EMP-00099,Engineering,Mid,75,9,5,Badge,0.75,6.55,0.87,7.9,5.0,2,0
EMP-00100,Engineering,Mid,40,6,3,Badge,0.5,8.87,0.47,6.9,3.9,5,0
EMP-00101,Engineering,Senior,43,7,3,Monetary,0.58,184.77,0.43,6.6,4.6,3,0
EMP-00102,Marketing,Manager,75,7,12,Badge,0.58,3.41,0.85,8.4,4.4,2,0
EMP-00103,Sales,Mid,28,9,1,Badge,0.75,6.36,0.53,7.0,5.0,6,0
EMP-00104,Sales,Junior,16,5,1,Monetary,0.42,105.87,0.46,6.9,4.2,5,0
EMP-00105,Customer Support,Senior,61,10,4,Points,0.83,38.87,0.61,7.2,4.6,2,0
EMP-00106,Engineering,Mid,3,4,1,Points,0.33,37.24,0.67,4.9,3.9,7,0
EMP-00107,Sales,Junior,12,9,2,PTO,0.75,98.85,0.55,7.2,5.0,5,0
EMP-00108,Operations,Mid,17,8,2,Monetary,0.67,55.45,0.37,7.2,5.0,4,0
EMP-00109,Engineering,Senior,26,7,6,Badge,0.58,1.14,0.21,7.5,4.5,4,0
EMP-00110,Engineering,Senior,44,11,6,Badge,0.92,1.23,0.72,8.1,5.0,1,0
EMP-00111,Sales,Mid,16,10,0,Monetary,0.83,68.04,0.9,7.2,4.0,5,0
EMP-00112,Engineering,Mid,29,5,1,Badge,0.42,3.5,0.78,8.0,4.9,4,0
EMP-00113,Customer Support,Manager,72,13,3,Points,1.08,32.94,0.53,8.6,4.7,3,0
EMP-00114,Operations,Senior,63,5,6,Badge,0.42,7.46,0.16,7.6,,6,0
EMP-00115,Marketing,Mid,41,10,2,Points,0.83,11.27,0.85,8.1,4.4,4,0
EMP-00116,Customer Support,Junior,44,4,1,Points,0.33,16.37,0.31,6.2,3.9,2,0
EMP-00117,Operations,Senior,43,5,2,Points,0.42,31.63,0.7,7.9,4.8,2,0
EMP-00118,Engineering,Junior,9,2,1,Badge,0.17,7.58,0.8,6.1,3.9,5,0
EMP-00119,Customer Support,Junior,10,4,0,Badge,0.33,8.21,0.54,4.4,4.3,3,0
EMP-00120,Marketing,Mid,39,7,2,Points,0.58,22.26,0.45,7.4,4.1,6,0
EMP-00121,Operations,Junior,6,6,0,Monetary,0.5,103.05,0.89,6.6,4.6,8,0
EMP-00122,Customer Support,Mid,6,4,3,Badge,0.33,6.78,0.56,3.7,2.3,10,1
EMP-00123,Sales,Junior,4,2,3,Points,0.17,17.52,0.67,5.1,3.6,5,0
EMP-00124,Engineering,Senior,47,6,3,Points,0.5,8.71,0.75,8.0,4.7,7,0
EMP-00125,Engineering,Junior,2,6,2,PTO,0.5,160.8,0.81,6.3,3.4,3,0
EMP-00126,Sales,Junior,9,5,0,Badge,0.42,9.86,0.59,5.8,4.6,2,0
EMP-00127,Operations,Junior,11,4,0,Points,0.33,21.81,0.81,5.6,3.6,12,0
EMP-00128,Customer Support,Manager,58,8,9,Points,0.67,18.42,0.94,8.1,4.4,5,0
EMP-00129,Engineering,Senior,23,8,4,Points,0.67,42.01,0.66,8.0,4.0,3,0
EMP-00130,Sales,Junior,6,6,3,Monetary,0.5,185.67,0.74,7.4,4.0,4,0
EMP-00131,Sales,Senior,72,19,4,Points,1.58,40.13,0.76,9.3,4.0,5,0
EMP-00132,Engineering,Mid,28,2,2,Points,0.17,28.57,0.91,8.6,4.7,3,0
EMP-00133,Engineering,Manager,82,9,8,PTO,0.75,272.09,0.22,8.9,4.7,6,0
EMP-00134,Sales,Mid,29,9,5,Monetary,0.75,128.23,0.77,7.2,4.2,4,0
EMP-00135,Customer Support,Senior,52,8,5,Badge,0.67,2.95,0.35,8.5,4.7,5,0
EMP-00136,Sales,Junior,12,5,1,PTO,0.42,284.22,0.71,6.6,4.0,3,0
EMP-00137,Sales,Mid,32,10,1,Badge,0.83,6.57,0.5,6.7,4.8,4,0
EMP-00138,Operations,Manager,52,10,6,Points,0.83,11.01,0.68,7.7,4.8,8,0
EMP-00139,Sales,Mid,9,12,4,Monetary,1.0,83.76,0.79,8.4,4.2,5,0
EMP-00140,Customer Support,Junior,9,1,1,Badge,0.08,6.6,0.83,1.0,2.8,13,1
EMP-00141,Customer Support,Junior,2,1,1,Badge,0.08,8.37,0.9,4.1,3.2,5,0
EMP-00142,Engineering,Senior,83,9,5,Badge,0.75,9.89,0.79,9.6,4.8,4,0
EMP-00143,Sales,Mid,5,8,2,Monetary,0.67,60.44,0.73,6.8,5.0,7,0
EMP-00144,Sales,Mid,24,4,3,Badge,0.33,8.05,0.39,6.5,4.4,3,0
EMP-00145,Sales,Manager,67,18,4,Points,1.5,10.33,0.51,8.9,3.7,5,0
EMP-00146,Engineering,Junior,4,5,0,Points,0.42,35.67,0.53,4.2,3.2,9,0
EMP-00147,Marketing,Mid,18,7,3,Points,0.58,9.82,0.72,8.0,5.0,6,0
EMP-00148,Sales,Manager,64,12,7,Badge,1.0,5.6,0.84,9.4,4.7,1,0
EMP-00149,Engineering,Mid,38,5,4,Points,0.42,28.51,0.39,6.9,4.4,3,0
EMP-00150,Engineering,Junior,12,3,1,Badge,0.25,8.94,0.44,6.7,4.5,1,0
EMP-00151,Customer Support,Mid,21,4,3,Badge,0.33,5.37,0.82,4.8,3.7,5,0
EMP-00152,Engineering,Senior,49,15,6,Badge,1.25,7.16,0.12,9.5,4.7,6,0
EMP-00153,Engineering,Junior,32,5,4,Points,0.42,43.87,0.84,7.6,3.7,2,0
EMP-00154,Sales,Manager,92,15,8,Badge,1.25,1.41,0.64,10.0,5.0,4,0
EMP-00155,Customer Support,Senior,53,9,6,Badge,0.75,1.18,0.39,7.9,5.0,4,0
EMP-00156,Engineering,Junior,1,4,2,Monetary,0.33,46.11,0.84,4.9,3.4,3,0
EMP-00157,Marketing,Senior,68,8,6,PTO,0.67,131.14,0.83,8.5,4.1,4,0
EMP-00158,Operations,Mid,39,7,3,Monetary,0.58,93.2,0.82,7.9,4.3,5,0
EMP-00159,Engineering,Mid,39,5,1,Badge,0.42,0.39,0.55,5.9,4.7,5,0
EMP-00160,Operations,Senior,59,9,5,Badge,0.75,2.49,0.45,7.6,4.2,1,0
EMP-00161,Sales,Manager,57,10,4,Points,0.83,5.31,0.65,8.4,4.3,4,0
EMP-00162,Marketing,Junior,14,8,0,Points,0.67,13.6,0.42,7.7,4.6,2,0
EMP-00163,Marketing,Mid,34,3,3,PTO,0.25,148.23,0.8,7.7,4.2,3,0
EMP-00164,Marketing,Mid,32,6,3,Badge,0.5,7.54,0.89,7.2,4.9,2,0
EMP-00165,Engineering,Mid,29,9,1,Points,0.75,49.88,0.42,7.5,4.6,8,0
EMP-00166,Operations,Mid,29,10,2,Points,0.83,13.97,0.56,7.3,4.3,7,0
EMP-00167,Sales,Junior,6,4,3,Points,0.33,36.55,0.75,6.4,3.1,5,0
EMP-00168,Engineering,Senior,32,7,5,Points,0.58,20.86,0.69,8.7,4.6,4,0
EMP-00169,Engineering,Mid,45,10,1,Badge,0.83,8.5,0.67,6.7,3.6,3,0
EMP-00170,Marketing,Junior,1,2,3,Points,0.17,20.0,0.63,4.4,2.9,14,0
EMP-00171,Marketing,Senior,26,6,4,Badge,0.5,3.09,0.29,8.4,4.1,4,0
EMP-00172,Engineering,Senior,53,8,4,Badge,0.67,5.35,0.25,7.4,3.7,5,0
EMP-00173,Sales,Mid,34,4,5,Points,0.33,49.9,1.0,5.4,3.8,5,0
EMP-00174,Engineering,Junior,5,2,4,Badge,0.17,3.53,0.98,5.2,4.6,7,0
EMP-00175,Marketing,Mid,32,5,1,Points,0.42,14.11,0.7,7.5,4.7,7,0
EMP-00176,Engineering,Junior,1,5,0,Monetary,0.42,146.77,0.63,6.8,4.1,5,0
EMP-00177,Operations,Junior,34,6,2,Points,0.5,45.22,0.58,7.2,4.5,3,0
EMP-00178,Sales,Senior,15,12,5,Monetary,1.0,170.25,0.8,9.1,4.6,0,0
EMP-00179,Customer Support,Junior,1,4,4,Badge,0.33,8.8,0.75,5.4,4.2,8,0
EMP-00180,Engineering,Junior,27,0,2,Badge,0.0,0.34,0.0,3.2,3.7,4,1
EMP-00181,Sales,Junior,1,4,4,Badge,0.33,0.8,0.79,5.9,4.3,5,0
EMP-00182,Engineering,Junior,20,3,4,Badge,0.25,7.92,0.85,6.3,4.5,4,0
EMP-00183,Customer Support,Junior,1,0,0,Points,0.0,23.56,0.0,3.4,2.9,6,1
EMP-00184,Customer Support,Manager,77,11,8,Points,0.92,25.31,0.87,7.8,4.1,4,0
EMP-00185,Engineering,Junior,9,7,3,Points,0.58,22.89,0.61,7.6,4.4,6,0
EMP-00186,Marketing,Junior,1,0,4,Badge,0.0,1.69,0.0,2.4,3.6,7,1
EMP-00187,Operations,Junior,32,2,2,Points,0.17,47.27,0.78,6.8,3.9,5,0
EMP-00188,Marketing,Manager,42,3,13,Points,0.25,37.91,0.39,7.6,4.1,7,0
EMP-00189,Marketing,Mid,53,5,4,Badge,0.42,3.23,0.8,8.3,4.1,4,0
EMP-00190,Engineering,Mid,25,8,5,Points,0.67,31.64,0.68,7.6,5.0,3,0
EMP-00191,Engineering,Manager,105,8,7,Points,0.67,28.75,0.51,8.5,4.7,4,0
EMP-00192,Customer Support,Mid,30,6,5,Badge,0.5,4.77,0.72,7.7,4.9,4,0
EMP-00193,Customer Support,Mid,16,8,4,Points,0.67,48.31,0.43,5.9,3.5,8,0
EMP-00194,Marketing,Junior,9,7,1,Points,0.58,25.28,0.7,7.7,4.0,8,0
EMP-00195,Sales,Mid,21,8,3,Badge,0.67,6.14,0.98,6.8,4.0,4,0
EMP-00196,Sales,Mid,3,6,1,Badge,0.5,2.6,0.82,6.5,4.3,4,0
EMP-00197,Operations,Senior,29,10,10,Points,0.83,21.48,0.75,7.8,4.7,2,0
EMP-00198,Customer Support,Junior,13,3,1,Points,0.25,30.81,0.88,6.7,3.0,3,0
EMP-00199,Customer Support,Mid,26,8,2,Monetary,0.67,187.12,0.63,8.8,5.0,2,0
EMP-00200,Operations,Junior,4,3,2,Badge,0.25,9.73,0.15,3.7,4.0,6,1
EMP-00201,Marketing,Junior,6,2,1,Points,0.17,41.41,0.95,6.3,3.6,3,0
EMP-00202,Engineering,Mid,31,5,4,PTO,0.42,255.27,0.93,7.0,3.7,5,0
EMP-00203,Engineering,Manager,56,11,11,Badge,0.92,1.21,0.4,10.0,5.0,3,0
EMP-00204,Customer Support,Mid,25,4,2,Points,0.33,45.71,0.92,6.4,2.8,6,0
EMP-00205,Marketing,Senior,41,11,2,Badge,0.92,9.49,0.53,6.1,3.0,1,0
EMP-00206,Engineering,Junior,1,1,2,Points,0.08,15.42,0.79,5.7,3.6,3,0
EMP-00207,Engineering,Junior,15,1,3,Points,0.08,27.84,0.52,7.4,3.9,1,0
EMP-00208,Marketing,Junior,6,2,2,Monetary,0.17,94.22,0.49,5.9,3.2,8,0
EMP-00209,Engineering,Mid,33,6,1,PTO,0.5,236.47,0.74,7.5,5.0,4,0
EMP-00210,Engineering,Junior,18,1,2,Badge,0.08,1.52,0.41,6.0,3.3,4,0
EMP-00211,Marketing,Junior,30,7,2,PTO,0.58,233.35,0.83,6.5,3.9,7,0
EMP-00212,Operations,Senior,28,7,4,Badge,0.58,8.48,0.78,7.3,3.6,6,0
EMP-00213,Marketing,Junior,18,4,2,Points,0.33,10.39,0.37,5.9,3.9,7,0
EMP-00214,Engineering,Mid,35,5,4,PTO,0.42,107.67,0.74,7.8,4.5,4,0
EMP-00215,Operations,Mid,31,8,3,Badge,0.67,1.24,0.6,8.0,4.8,7,0
EMP-00216,Engineering,Mid,37,7,2,PTO,0.58,251.99,0.26,7.5,4.7,2,0
EMP-00217,Sales,Mid,14,8,1,Points,0.67,5.98,0.72,8.2,3.7,2,0
EMP-00218,Operations,Mid,47,5,2,Points,0.42,45.24,0.77,7.2,5.0,3,0
EMP-00219,Marketing,Junior,5,3,1,Points,0.25,29.18,0.54,3.1,2.8,13,1
EMP-00220,Operations,Senior,52,5,8,Monetary,0.42,62.75,0.78,7.8,3.0,3,0
EMP-00221,Marketing,Manager,62,13,5,Badge,1.08,1.51,0.54,8.4,3.4,2,0
EMP-00222,Marketing,Junior,11,2,2,PTO,0.17,88.47,0.36,4.5,3.0,13,0
EMP-00223,Engineering,Junior,18,3,3,PTO,0.25,116.84,0.66,7.1,4.8,3,0
EMP-00224,Sales,Manager,51,10,9,Badge,0.83,0.81,0.6,6.0,4.7,2,0
EMP-00225,Engineering,Mid,22,13,2,Points,1.08,40.91,0.58,8.6,3.7,5,0
EMP-00226,Engineering,Mid,11,4,1,Points,0.33,17.31,0.77,7.0,4.3,3,0
EMP-00227,Customer Support,Mid,31,4,4,Points,0.33,5.68,0.95,5.3,3.9,3,0
EMP-00228,Sales,Junior,12,2,0,Points,0.17,40.87,0.42,7.4,4.7,6,0
EMP-00229,Customer Support,Mid,43,7,5,Points,0.58,31.37,0.61,7.7,5.0,2,0
EMP-00230,Marketing,Mid,20,4,3,PTO,0.33,57.95,0.42,6.9,4.4,8,0
EMP-00231,Operations,Junior,19,1,0,Monetary,0.08,64.43,0.21,4.5,2.2,12,0
EMP-00232,Sales,Mid,11,0,0,Badge,0.0,3.23,0.0,2.2,2.9,20,1
EMP-00233,Marketing,Senior,45,11,5,Points,0.92,47.23,0.66,6.9,3.9,2,0
EMP-00234,Sales,Mid,24,8,1,Badge,0.67,4.26,0.61,7.0,5.0,3,0
EMP-00235,Engineering,Junior,1,6,1,PTO,0.5,222.74,0.65,5.8,3.7,6,0
EMP-00236,Operations,Mid,31,3,1,PTO,0.25,244.2,0.6,8.0,5.0,5,0
EMP-00237,Sales,Senior,31,12,6,Monetary,1.0,116.6,0.88,6.7,3.9,6,0
EMP-00238,Engineering,Senior,38,7,5,Badge,0.58,1.01,0.66,8.2,5.0,4,0
EMP-00239,Marketing,Mid,35,6,2,Points,0.5,47.05,0.49,5.9,3.5,4,0
EMP-00240,Engineering,Junior,3,1,1,Monetary,0.08,103.73,0.72,6.9,4.7,3,0
EMP-00241,Customer Support,Senior,53,10,7,PTO,0.83,92.6,0.57,7.2,4.7,5,0
EMP-00242,Customer Support,Senior,29,10,5,PTO,0.83,242.07,0.84,6.4,4.0,4,0
EMP-00243,Customer Support,Junior,28,0,2,Points,0.0,44.69,0.0,1.3,3.5,7,1
EMP-00244,Sales,Mid,19,9,4,Monetary,0.75,153.18,0.57,7.8,4.2,6,0
EMP-00245,Engineering,Mid,60,7,3,Badge,0.58,4.46,0.45,6.5,4.9,2,0
EMP-00246,Customer Support,Senior,48,8,7,Badge,0.67,9.84,0.34,6.8,4.2,4,0
EMP-00247,Sales,Junior,6,3,1,Points,0.25,9.5,1.0,5.5,4.2,9,0
EMP-00248,Customer Support,Mid,11,4,4,PTO,0.33,86.72,0.71,4.8,3.2,7,0
EMP-00249,Customer Support,Manager,87,12,9,Badge,1.0,2.75,0.82,9.5,3.2,1,0
EMP-00250,Operations,Senior,67,13,2,Points,1.08,10.95,0.84,7.5,4.6,6,0
EMP-00251,Sales,Manager,34,16,8,Points,1.33,25.14,1.0,10.0,4.6,8,0
EMP-00252,Sales,Manager,30,11,6,Points,0.92,31.81,0.85,8.4,5.0,4,0
EMP-00253,Operations,Junior,1,2,3,Badge,0.17,3.03,0.59,4.7,3.7,5,0
EMP-00254,Sales,Mid,40,12,1,Badge,1.0,0.3,0.6,7.7,5.0,3,0
EMP-00255,Engineering,Mid,13,8,1,Badge,0.67,5.6,0.46,6.4,4.5,3,0
EMP-00256,Marketing,Senior,19,15,3,Points,1.25,30.23,0.76,7.0,3.9,1,0
EMP-00257,Customer Support,Junior,11,6,3,Monetary,0.5,177.4,0.28,5.5,3.4,6,0
EMP-00258,Operations,Manager,46,11,2,Badge,0.92,1.03,0.75,7.1,3.4,5,0
EMP-00259,Marketing,Mid,21,7,2,Points,0.58,21.72,0.37,7.3,3.9,4,0
EMP-00260,Engineering,Senior,12,10,5,Badge,0.83,2.32,0.78,8.0,4.5,2,0
EMP-00261,Marketing,Junior,15,7,2,Points,0.58,9.62,0.85,8.5,5.0,3,0
EMP-00262,Customer Support,Junior,3,3,3,Points,0.25,18.56,0.8,5.0,3.1,8,0
EMP-00263,Engineering,Senior,49,8,4,Points,0.67,41.22,0.65,9.3,4.8,0,0
EMP-00264,Sales,Junior,10,8,1,Points,0.67,15.57,0.76,6.5,2.7,8,0
EMP-00265,Customer Support,Senior,44,7,7,Points,0.58,46.11,0.64,7.9,4.2,7,0
EMP-00266,Operations,Junior,2,2,1,Points,0.17,36.15,0.67,3.8,3.7,10,1
EMP-00267,Operations,Senior,52,6,4,Monetary,0.5,41.74,0.69,8.6,4.6,2,0
EMP-00268,Operations,Mid,48,9,3,Monetary,0.75,63.79,0.43,6.0,4.8,4,0
EMP-00269,Sales,Mid,40,3,3,PTO,0.25,58.55,0.77,7.0,3.2,5,0
EMP-00270,Sales,Senior,51,9,4,Monetary,0.75,45.24,0.41,7.5,4.2,3,0
EMP-00271,Operations,Mid,38,4,4,Points,0.33,37.45,0.46,6.0,4.2,5,0
EMP-00272,Operations,Junior,42,4,1,Badge,0.33,1.54,0.54,5.6,3.9,1,0
EMP-00273,Customer Support,Junior,5,2,1,Monetary,0.17,76.19,0.5,3.4,3.0,7,1
EMP-00274,Customer Support,Mid,38,6,7,Badge,0.5,6.84,0.6,6.7,3.0,2,0
EMP-00275,Sales,Mid,3,4,4,Points,0.33,33.74,1.0,6.1,4.0,2,0
EMP-00276,Sales,Senior,62,9,5,Points,0.75,45.36,0.81,9.2,3.6,6,0
EMP-00277,Operations,Mid,41,5,1,Monetary,0.42,83.46,0.82,7.5,4.6,6,0
EMP-00278,Marketing,Mid,19,5,5,Badge,0.42,3.67,0.46,6.0,3.3,3,0
