amount,time_hour,merchant_category,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase,is_weekend,is_night,num_transactions_last_hour,num_transactions_last_day,is_fraud
26.48,17,6,28.27,8.85,1.222,0,0,2,5,0
39.5,22,0,18.93,1.22,1.002,1,0,0,9,0
92.71,6,1,2.23,0.17,0.564,1,0,0,3,0
79.05,12,3,4.16,0.15,0.88,1,0,0,6,0
70.58,20,0,14.76,1.62,0.894,0,1,1,3,0
37.69,16,5,3.92,2.45,0.968,0,1,0,8,0
43.27,12,5,1.73,6.04,1.339,0,0,1,6,0
185.5,12,0,4.83,1.41,0.533,0,0,2,4,0
16.86,18,4,4.43,0.81,1.582,1,0,0,5,0
26.58,12,3,0.48,4.81,2.362,1,0,0,5,0
19.84,9,3,4.4,9.97,1.218,0,0,2,3,0
6.6,15,0,2.62,2.9,0.522,1,0,0,4,0
145.12,22,7,2.26,3.97,0.886,0,0,0,6,0
8.3,10,3,6.26,0.03,1.125,0,0,1,4,0
9.31,12,1,10.22,2.93,0.811,0,0,0,4,0
93.54,3,3,9.44,7.11,0.602,1,0,0,3,0
14.22,0,0,3.06,1.27,0.677,0,0,3,5,0
77.74,11,5,22.22,0.13,0.621,0,0,1,5,0
16.41,13,6,2.09,8.93,1.114,0,0,2,5,0
44.35,18,0,0.88,7.34,1.192,0,0,1,5,0
188.85,21,5,3.15,2.06,1.115,1,0,0,7,0
57.51,19,8,2.25,4.38,2.721,0,1,0,6,0
19.9,12,2,2.38,4.19,1.756,0,0,2,6,0
12.55,2,9,23.7,4.0,1.427,1,0,0,3,0
51.76,8,4,6.41,1.46,1.201,1,0,0,5,0
29.75,14,3,1.92,2.71,0.703,0,0,3,8,0
30.7,21,0,6.58,5.24,1.688,0,0,0,9,0
25.63,17,6,9.7,3.17,1.135,0,0,1,4,0
38.89,17,2,1.33,0.45,0.96,0,0,0,2,0
12.94,18,8,3.94,13.29,1.021,0,1,0,5,0
11.83,13,1,3.22,0.16,1.634,0,0,0,3,0
7.85,5,9,7.14,0.71,1.182,0,0,1,6,0
7.88,8,4,1.89,1.21,0.552,0,0,0,4,0
4.17,16,3,15.36,2.3,1.226,0,0,0,7,0
35.98,17,7,10.68,9.09,0.403,0,0,0,5,0
48.1,15,2,5.02,3.75,1.045,0,0,1,2,0
2.93,0,5,2.8,3.5,0.853,0,0,0,7,0
157.4,16,8,21.94,18.95,1.106,1,0,1,4,0
81.19,22,1,6.53,2.34,0.538,1,0,1,4,0
5.12,19,1,1.12,2.89,1.246,1,0,0,5,0
180.84,9,0,4.61,3.61,1.44,0,0,1,4,0
11.23,19,1,27.78,1.99,1.103,0,0,1,9,0
12.45,12,2,4.47,1.71,1.078,0,0,1,3,0
8.91,17,4,2.77,5.24,0.772,1,0,1,3,0
81.77,2,2,1.97,9.36,1.082,1,0,2,6,0
13.31,15,8,7.49,1.69,0.733,0,0,0,3,0
98.7,11,4,3.79,8.4,0.585,1,0,0,2,0
59.72,14,8,10.16,7.27,0.749,0,0,1,4,0
19.5,9,0,8.45,0.65,0.742,0,0,1,8,0
31.99,11,2,5.61,1.99,0.944,0,0,2,4,0
105.28,12,3,0.99,8.34,0.983,0,0,1,6,0
5.82,10,9,7.19,15.47,1.013,0,0,0,5,0
47.74,7,5,5.44,13.52,1.148,0,0,0,5,0
17.68,20,0,10.37,4.37,1.001,1,0,1,6,0
80.85,17,3,3.73,2.46,1.358,0,0,0,4,0
46.98,9,3,18.46,0.27,0.772,1,0,1,9,0
85.27,17,7,5.37,7.86,1.006,0,0,2,1,0
33.36,12,0,4.26,6.62,1.188,1,1,1,8,0
34.42,8,7,3.26,8.13,1.304,0,0,1,3,0
12.55,12,3,2.82,5.4,1.108,0,0,1,4,0
14.46,21,3,4.63,2.99,0.845,1,0,0,6,0
22.09,11,5,6.55,4.55,0.628,1,0,1,4,0
32.58,12,1,19.85,3.75,1.145,0,0,1,7,0
21.27,11,0,3.94,3.59,0.902,1,0,1,7,0
7.15,17,1,10.28,6.67,1.181,0,0,1,6,0
154.8,21,2,2.01,8.37,0.595,0,0,1,7,0
141.97,12,2,12.74,4.63,1.004,0,0,1,9,0
108.99,0,4,1.81,5.65,0.578,0,1,3,6,0
23.98,17,3,25.65,0.38,0.827,0,0,0,2,0
53.15,12,3,4.78,4.56,1.478,1,0,1,4,0
54.13,8,1,19.23,7.64,0.862,0,0,0,6,0
42.84,7,3,1.98,4.57,1.329,0,0,2,6,0
67.16,13,0,2.02,10.7,0.76,0,0,1,4,0
32.06,21,8,19.98,3.02,1.033,0,0,2,7,0
50.49,16,9,3.24,14.07,1.205,0,0,0,7,0
30.83,7,1,2.91,0.87,1.083,0,0,0,8,0
71.89,10,8,9.28,1.37,0.99,0,0,2,5,0
13.37,22,9,11.43,6.96,0.926,0,0,1,5,0
7.8,17,1,8.36,10.69,2.845,1,0,1,6,0
174.86,19,8,45.15,1.89,1.361,0,1,3,0,0
124.98,9,3,5.21,2.53,1.291,0,0,0,9,0
127.16,15,1,1.29,4.83,0.409,0,0,0,7,0
49.85,21,1,11.0,16.3,1.535,0,0,3,6,0
14.82,13,1,7.43,3.37,1.808,0,0,1,5,0
49.27,16,5,1.24,1.87,1.737,0,0,1,8,0
4.27,16,5,5.87,1.2,1.041,0,0,1,4,0
29.78,17,2,4.43,9.15,0.574,0,0,0,3,0
15.29,17,0,6.1,10.97,0.898,0,1,0,7,0
20.46,11,0,8.28,0.13,0.541,1,0,0,2,0
8.84,12,8,3.14,3.72,1.86,0,0,1,3,0
405.63,21,7,4.03,10.6,0.757,0,0,0,3,0
128.1,9,5,8.26,0.29,1.035,1,0,2,3,0
7.42,18,1,3.79,2.86,0.752,1,1,1,6,0
25.97,21,9,5.56,0.47,0.727,0,0,1,4,0
16.78,13,4,18.99,3.95,1.336,0,0,1,3,0
16.04,3,6,3.09,0.55,0.606,0,1,0,4,0
55.59,17,1,2.0,8.3,1.044,0,0,2,3,0
59.12,9,6,5.45,1.98,1.01,0,0,0,7,0
61.49,20,2,1.39,4.02,1.16,0,0,3,9,0
15.61,9,0,3.98,0.19,1.346,0,0,1,3,0
20.25,22,8,39.53,2.41,0.981,0,0,1,4,0
120.11,18,7,4.87,4.36,1.693,0,0,0,3,0
26.53,9,1,6.26,0.77,0.735,0,0,0,9,0
4.59,22,2,26.82,2.35,1.569,1,0,0,4,0
52.68,21,1,7.62,4.21,0.403,0,0,1,3,0
42.85,17,2,0.89,6.01,1.021,0,0,0,8,0
43.29,9,8,11.38,0.89,0.964,0,1,1,4,0
11.8,23,0,0.43,7.34,1.243,0,0,3,7,0
19.71,11,4,6.7,14.31,1.592,1,1,0,5,0
31.5,12,7,3.49,0.52,0.867,1,0,1,9,0
69.4,15,3,20.25,0.35,0.892,0,1,1,5,0
7.17,8,7,2.95,5.7,0.956,0,0,0,5,0
37.44,13,3,0.02,5.41,1.092,1,0,1,9,0
33.76,14,8,5.85,4.71,1.258,0,0,0,4,0
50.14,10,3,10.62,8.69,0.882,0,0,0,5,0
106.82,14,3,1.53,9.57,1.891,0,0,0,7,0
26.73,12,1,1.93,5.22,0.635,1,0,1,7,0
48.07,10,2,8.55,1.59,0.916,0,0,2,0,0
141.32,12,2,22.25,0.18,1.278,0,0,0,5,0
85.66,11,7,4.31,5.96,0.454,0,0,0,4,0
40.98,11,1,3.51,0.14,1.227,1,0,1,5,0
29.06,14,2,14.09,4.73,1.236,0,0,2,4,0
120.63,11,3,0.89,5.57,1.431,1,0,0,6,0
23.25,0,3,2.91,3.17,1.253,0,0,2,6,0
11.05,10,4,1.29,10.84,1.291,0,0,2,2,0
34.62,12,5,2.52,2.43,0.86,0,0,0,2,0
9.47,13,4,8.35,6.7,1.142,0,0,0,7,0
242.63,20,7,0.76,0.63,0.537,0,0,0,3,0
27.02,16,9,10.95,1.23,1.247,0,0,0,7,0
8.25,11,7,22.15,6.99,0.989,0,0,0,6,0
132.78,14,3,1.06,10.17,1.067,0,0,1,4,0
16.29,18,8,7.13,2.28,1.344,1,0,1,6,0
129.74,14,5,2.56,0.6,1.141,0,0,1,6,0
326.62,9,2,6.8,2.8,0.981,1,0,1,6,0
23.54,15,8,1.36,9.89,0.9,1,0,1,11,0
423.69,13,3,1.13,1.38,0.805,1,0,0,7,0
39.8,21,6,9.93,1.37,1.4,1,0,0,2,0
64.61,13,8,9.83,10.52,0.996,1,0,1,5,0
51.37,20,5,7.54,3.57,0.619,0,0,2,5,0
29.48,0,4,0.72,3.07,1.035,0,0,1,7,0
108.53,17,1,0.01,15.44,1.581,0,0,0,8,0
19.39,14,0,10.54,1.26,0.804,0,0,0,2,0
62.03,17,8,0.64,1.72,1.953,0,0,1,10,0
14.94,1,5,1.12,0.02,0.588,0,0,0,6,0
23.07,21,5,13.79,5.31,1.655,0,0,1,3,0
94.93,12,5,8.95,3.96,1.94,1,0,1,5,0
31.96,18,5,24.29,2.99,1.711,0,0,2,5,0
28.3,12,3,27.71,5.8,0.553,0,0,0,8,0
35.64,15,8,0.41,4.25,1.083,1,0,0,2,0
54.58,15,8,16.9,0.05,0.772,0,0,0,4,0
266.68,11,6,5.81,3.28,0.92,1,0,0,4,0
48.14,20,0,11.04,0.27,0.731,0,0,2,5,0
48.71,9,2,1.05,0.7,0.85,1,0,1,4,0
10.4,20,1,5.09,0.14,0.904,1,0,2,3,0
48.41,18,5,0.37,8.79,2.262,0,0,1,3,0
97.52,10,8,3.51,0.2,1.415,0,0,1,6,0
104.21,22,4,0.01,3.56,0.731,1,0,1,3,0
40.15,9,4,11.39,2.92,0.674,0,0,1,4,0
36.33,20,8,11.77,6.13,0.631,0,0,1,12,0
33.87,15,6,26.58,12.92,1.396,0,0,0,5,0
39.83,14,3,7.04,0.08,2.3,0,0,1,0,0
36.27,9,6,2.06,0.0,1.816,0,0,0,5,0
52.88,15,3,3.91,10.38,1.43,1,0,0,4,0
114.96,12,2,17.48,1.67,0.899,0,1,0,6,0
101.6,10,1,10.42,0.39,0.511,0,0,1,3,0
15.89,16,2,13.16,12.88,1.536,0,0,1,7,0
5.9,10,7,3.96,1.0,1.109,1,0,1,5,0
19.32,15,4,8.04,4.96,0.534,0,0,1,10,0
31.97,14,4,5.14,2.11,0.595,0,0,2,3,0
24.3,16,7,2.93,4.87,1.431,0,0,1,5,0
64.66,15,5,0.52,4.07,1.732,0,1,1,1,0
64.04,10,3,26.42,2.25,0.56,0,0,0,5,0
48.52,12,4,0.37,0.96,0.914,0,0,0,4,0
28.58,14,0,7.97,3.85,2.189,0,0,1,7,0
4.17,10,8,26.75,1.85,1.452,1,0,0,7,0
2.12,19,8,4.89,8.04,0.57,1,0,3,4,0
16.82,20,5,1.29,1.36,0.797,0,0,1,1,0
5.79,17,1,0.98,14.5,0.932,1,0,1,7,0
34.21,6,1,2.6,2.14,0.832,0,0,2,6,0
25.83,21,1,3.26,2.29,0.748,0,0,0,5,0
14.24,17,3,9.13,11.26,1.563,0,0,1,6,0
20.93,2,8,10.51,59.64,7.201,0,0,3,7,1
53.06,8,3,8.63,4.88,1.841,0,0,1,6,0
11.89,9,6,10.04,9.6,0.927,0,0,1,5,0
54.78,21,3,4.21,2.15,1.411,0,0,0,2,0
256.12,12,2,5.98,4.31,0.627,0,0,3,3,0
301.75,15,5,21.39,11.58,1.671,0,0,1,6,0
95.6,9,7,0.05,5.57,0.647,0,0,1,10,0
92.21,11,1,4.2,6.73,1.482,0,0,0,1,0
49.2,15,3,3.9,5.77,0.869,0,0,1,6,0
17.68,18,0,0.41,0.78,1.62,0,0,2,6,0
35.29,19,4,13.71,1.25,0.41,1,0,0,2,0
13.43,12,9,4.84,0.26,1.495,0,0,2,8,0
14.2,12,2,10.99,3.1,0.856,1,0,2,2,0
83.61,13,6,2.26,1.91,1.001,1,0,0,6,0
20.85,8,6,8.79,19.13,1.005,0,0,1,4,0
9.73,12,6,0.75,0.4,1.016,0,0,2,0,0
119.04,16,4,0.42,0.77,0.681,0,0,2,4,0
19.31,8,2,6.06,2.73,1.549,0,1,2,13,0
33.54,9,9,4.84,10.19,0.827,0,0,2,2,0
86.66,6,4,2.51,6.78,0.682,0,0,1,4,0
20.68,22,5,4.81,3.68,0.98,0,0,0,4,0
7.06,14,1,2.06,1.16,0.562,1,0,1,4,0
58.94,14,4,4.71,2.03,0.816,0,0,1,4,0
52.63,15,9,3.53,20.16,1.244,0,0,0,7,0
34.4,18,9,18.65,1.09,0.852,0,0,2,6,0
176.15,12,4,19.64,1.4,1.514,0,0,0,2,0
68.65,12,2,5.33,7.16,0.904,1,0,1,8,0
133.22,11,1,5.74,5.18,0.776,0,1,2,8,0
9.53,15,8,9.52,4.85,0.898,1,0,0,4,0
20.6,12,1,7.11,4.0,1.499,0,0,0,3,0
22.84,7,2,6.81,0.01,0.719,0,0,1,7,0
23.48,18,8,5.67,2.16,1.518,1,1,1,6,0
61.96,12,2,10.54,11.71,0.731,1,0,0,4,0
37.99,14,8,0.43,13.46,2.601,0,0,2,10,0
6.03,9,2,7.83,3.11,0.763,1,0,3,4,0
27.17,21,8,4.09,1.91,0.638,0,0,0,4,0
5.1,8,3,25.95,9.66,1.118,0,0,3,3,0
48.99,20,1,2.61,6.68,1.457,0,0,0,8,0
27.26,12,1,4.19,1.74,0.881,0,0,1,6,0
58.25,12,2,5.36,0.01,1.708,1,0,0,6,0
147.33,11,8,10.72,1.58,1.542,0,0,4,7,0
21.74,15,4,15.81,10.36,1.803,0,0,1,7,0
7.05,22,1,0.63,0.45,2.539,1,0,1,8,0
35.34,11,8,1.99,0.92,1.849,0,0,2,6,0
60.97,19,6,0.65,6.09,0.938,0,1,2,5,0
36.13,18,2,6.88,9.1,0.851,0,0,0,4,0
4.75,17,5,5.43,2.21,0.458,0,0,0,4,0
