user_id,company_id,plan_tier,signup_date,industry,daily_logins,features_used,session_duration_min,actions_per_session,last_active_date,days_since_last_login,monthly_active_days,support_tickets,nps_score,is_churned
USR-00051,CMP-0367,Enterprise,2024-01-18,Marketing,17.2,13,28.9,11.8,2025-09-30,1,23,2,10,0
USR-00052,CMP-0455,Enterprise,2025-02-15,Education,30.3,14,27.1,16.4,2025-10-01,0,27,1,9,0
USR-00053,CMP-0428,Pro,2023-10-25,Manufacturing,11.5,14,31.1,15.2,2025-10-01,0,10,0,6,0
USR-00054,CMP-0509,Enterprise,2024-11-11,Consulting,22.8,18,34.7,19.5,2025-10-01,0,27,1,8,0
USR-00055,CMP-0035,Free,2024-04-30,Education,4.5,1,4.4,1.0,2025-09-15,16,13,1,5,0
USR-00056,CMP-0206,Pro,2024-04-16,Technology,7.1,10,20.5,15.3,2025-09-21,10,13,0,7,0
USR-00057,CMP-0081,Free,2025-01-20,Technology,2.0,5,7.7,5.7,2025-09-27,4,3,6,1,1
USR-00058,CMP-0562,Enterprise,2024-05-21,Technology,20.7,10,39.7,7.7,2025-09-30,1,22,3,9,0
USR-00059,CMP-0388,Free,2025-01-08,Technology,2.7,2,5.1,3.3,2025-10-01,0,1,4,0,1
USR-00060,CMP-0002,Pro,2025-02-22,Marketing,9.7,9,25.3,17.7,2025-09-30,1,13,2,6,0
USR-00061,CMP-0390,Enterprise,2025-01-02,Education,23.1,19,23.7,17.0,2025-09-27,4,23,1,5,0
USR-00062,CMP-0566,Free,2023-11-15,Media,10.0,1,1.0,2.8,2025-09-18,13,13,1,3,1
USR-00063,CMP-0106,Free,2023-10-24,Finance,2.3,2,10.3,4.0,2025-09-28,3,4,0,6,0
USR-00064,CMP-0477,Pro,2024-07-14,Manufacturing,13.1,12,20.2,12.2,2025-09-29,2,15,1,8,0
USR-00065,CMP-0402,Pro,2024-06-17,Consulting,15.2,11,22.8,9.5,2025-09-20,11,27,2,9,0
USR-00066,CMP-0556,Free,2023-12-28,E-commerce,2.8,8,7.7,9.8,2025-09-28,3,1,3,5,1
USR-00067,CMP-0162,Free,2024-12-29,Logistics,1.1,1,2.2,7.0,2025-09-26,5,7,1,7,0
USR-00068,CMP-0202,Free,2024-12-31,Technology,11.7,10,7.8,11.9,2025-09-16,15,16,4,5,0
USR-00069,CMP-0270,Enterprise,2024-05-14,Consulting,14.6,15,33.1,11.7,2025-09-29,2,22,1,6,0
USR-00070,CMP-0271,Pro,2025-01-21,Logistics,12.2,14,20.0,13.2,2025-09-27,4,25,0,7,0
USR-00071,CMP-0456,Free,2024-05-04,Finance,5.4,5,16.1,5.3,2025-08-30,32,16,1,3,0
USR-00072,CMP-0462,Free,2025-01-27,Consulting,1.9,1,6.2,4.0,2025-09-28,3,1,1,5,1
USR-00073,CMP-0252,Free,2025-01-18,Education,1.9,1,1.6,7.8,2025-09-13,18,5,1,4,1
USR-00074,CMP-0296,Free,2024-09-09,Consulting,2.1,2,12.9,4.2,2025-09-29,2,2,4,1,0
USR-00075,CMP-0338,Pro,2024-08-27,Technology,11.0,12,11.6,12.3,2025-09-25,6,18,2,7,0
USR-00076,CMP-0053,Free,2024-07-17,Finance,5.7,1,2.1,9.1,2025-09-03,28,18,1,5,0
USR-00077,CMP-0217,Free,2024-02-20,E-commerce,0.3,2,13.4,7.2,2025-09-23,8,1,2,8,1
USR-00078,CMP-0188,Pro,2024-05-09,Media,8.4,14,3.0,15.9,2025-09-22,9,25,0,3,1
USR-00079,CMP-0380,Free,2024-04-26,Healthcare,0.4,2,19.1,10.5,2025-09-07,24,14,4,3,1
USR-00080,CMP-0493,Pro,2025-01-21,Technology,15.5,11,12.1,13.3,2025-09-30,1,26,4,9,0
USR-00081,CMP-0041,Pro,2024-07-25,Logistics,20.1,10,27.7,5.0,2025-09-23,8,23,2,8,0
USR-00082,CMP-0157,Pro,2024-05-08,Finance,8.1,13,18.9,15.9,2025-09-14,17,17,1,8,0
USR-00083,CMP-0015,Pro,2024-03-03,Education,17.7,3,22.3,1.0,2025-09-25,6,22,0,9,0
USR-00084,CMP-0065,Pro,2024-04-25,Marketing,12.9,11,19.1,13.2,2025-09-30,1,16,2,5,0
USR-00085,CMP-0521,Enterprise,2024-01-06,Finance,19.3,11,42.7,6.7,2025-10-01,0,20,0,6,0
USR-00086,CMP-0344,Pro,2024-12-11,Logistics,2.1,7,33.5,7.2,2025-09-29,2,0,2,8,0
USR-00087,CMP-0129,Pro,2024-05-27,Healthcare,1.0,11,28.4,10.7,2025-10-01,0,3,0,8,1
USR-00088,CMP-0472,Enterprise,2024-08-20,Healthcare,16.9,23,44.2,19.1,2025-09-29,2,25,2,7,0
USR-00089,CMP-0063,Pro,2024-08-03,Manufacturing,13.2,13,29.4,12.4,2025-10-01,0,27,2,6,0
USR-00090,CMP-0139,Free,2023-10-27,Media,5.4,1,10.4,6.9,2025-09-28,3,10,3,3,1
USR-00091,CMP-0499,Free,2023-10-25,Logistics,1.1,2,5.1,2.5,2025-09-23,8,1,3,9,0
USR-00092,CMP-0593,Free,2024-02-03,Healthcare,2.5,5,6.4,8.6,2025-09-23,8,2,5,10,1
USR-00093,CMP-0392,Enterprise,2025-02-22,Manufacturing,12.4,18,40.5,14.5,2025-09-29,2,18,0,9,0
USR-00094,CMP-0419,Pro,2023-12-27,Manufacturing,18.0,13,27.2,12.8,2025-09-23,8,24,3,8,0
USR-00095,CMP-0289,Enterprise,2024-07-01,Manufacturing,22.2,13,38.7,14.4,2025-10-01,0,27,4,8,0
USR-00096,CMP-0379,Pro,2025-03-17,Finance,15.5,14,15.0,11.2,2025-10-01,0,24,1,7,0
USR-00097,CMP-0490,Pro,2025-01-29,Manufacturing,11.6,10,11.9,7.1,2025-10-01,0,12,0,3,0
USR-00098,CMP-0231,Free,2024-10-20,Technology,6.7,1,26.7,5.3,2025-09-24,7,16,1,4,1
USR-00099,CMP-0041,Pro,2024-02-27,Logistics,23.5,15,12.0,18.4,2025-10-01,0,26,2,8,0
USR-00100,CMP-0028,Pro,2024-02-21,Technology,5.0,5,24.4,6.8,2025-09-22,9,8,0,5,0
USR-00101,CMP-0135,Enterprise,2024-12-14,Marketing,22.0,15,40.5,13.6,2025-10-01,0,25,0,8,0
USR-00102,CMP-0201,Free,2024-07-05,Healthcare,10.5,2,2.3,5.1,2025-08-23,39,20,1,8,0
USR-00103,CMP-0033,Pro,2024-02-23,Media,20.3,8,27.8,9.6,2025-09-27,4,20,2,9,0
USR-00104,CMP-0048,Pro,2024-03-28,Manufacturing,5.2,13,22.6,14.1,2025-09-27,4,10,0,8,0
USR-00105,CMP-0503,Pro,2025-02-25,Education,7.1,3,30.5,1.0,2025-09-21,10,8,2,7,0
USR-00106,CMP-0407,Pro,2024-12-21,Education,17.7,17,19.4,13.4,2025-09-23,8,26,2,8,0
USR-00107,CMP-0574,Pro,2024-05-16,Healthcare,18.4,19,27.9,15.7,2025-09-25,6,22,1,6,0
USR-00108,CMP-0099,Free,2024-02-16,Marketing,4.8,4,1.0,6.7,2025-08-24,38,7,2,9,0
USR-00109,CMP-0547,Pro,2024-02-01,Education,11.7,9,8.0,10.8,2025-09-28,3,26,1,3,0
USR-00110,CMP-0462,Pro,2025-02-03,Technology,18.0,10,20.5,12.9,2025-09-20,11,28,2,7,0
USR-00111,CMP-0005,Enterprise,2024-06-02,Consulting,16.3,20,41.9,19.8,2025-09-30,1,15,0,7,0
USR-00112,CMP-0218,Enterprise,2024-04-16,Finance,22.5,19,38.4,14.3,2025-09-26,5,28,1,9,1
USR-00113,CMP-0503,Free,2024-03-08,E-commerce,13.1,1,6.0,8.1,2025-09-27,4,17,0,4,1
USR-00114,CMP-0398,Free,2024-09-13,Education,6.0,2,14.8,8.4,2025-09-27,4,7,2,10,0
USR-00115,CMP-0393,Enterprise,2024-07-21,Media,20.1,25,39.9,19.2,2025-09-28,3,21,0,9,0
USR-00116,CMP-0207,Pro,2023-12-06,Manufacturing,4.0,11,28.3,12.8,2025-09-30,1,6,0,5,0
USR-00117,CMP-0015,Enterprise,2023-11-05,Media,12.4,16,58.4,14.0,2025-10-01,0,14,1,4,0
USR-00118,CMP-0554,Free,2024-01-15,Logistics,4.5,5,12.1,7.4,2025-09-26,5,5,4,2,0
USR-00119,CMP-0461,Pro,2024-10-07,Finance,12.5,12,23.2,15.8,2025-09-24,7,11,2,8,0
USR-00120,CMP-0575,Enterprise,2024-04-28,Technology,16.4,17,42.6,23.0,2025-09-25,6,21,1,7,0
USR-00121,CMP-0241,Enterprise,2024-11-23,Marketing,17.3,15,29.0,17.3,2025-09-28,3,25,0,7,0
USR-00122,CMP-0564,Free,2024-01-18,Finance,14.8,7,30.0,9.5,2025-09-07,24,18,5,3,1
USR-00123,CMP-0096,Pro,2024-07-26,E-commerce,16.4,7,36.9,7.6,2025-09-26,5,26,2,8,0
USR-00124,CMP-0485,Pro,2024-07-14,Consulting,13.6,11,19.4,12.3,2025-10-01,0,17,2,6,0
USR-00125,CMP-0407,Free,2025-01-02,Education,5.6,15,13.4,19.1,2025-09-30,1,4,4,4,1
USR-00126,CMP-0231,Pro,2024-02-19,Marketing,13.0,13,26.6,13.3,2025-09-26,5,20,1,8,0
USR-00127,CMP-0171,Pro,2024-11-18,Marketing,0.9,13,38.0,10.7,2025-09-29,2,4,2,10,0
USR-00128,CMP-0541,Enterprise,2024-09-09,Education,19.1,13,33.6,8.5,2025-10-01,0,23,0,6,0
USR-00129,CMP-0036,Pro,2024-06-02,Education,12.4,10,30.1,12.5,2025-09-27,4,12,0,9,0
USR-00130,CMP-0525,Free,2024-07-13,Education,1.5,11,1.0,12.5,2025-09-16,15,1,1,5,0
USR-00131,CMP-0160,Free,2024-05-22,Education,10.4,3,18.6,3.5,2025-09-25,6,16,3,7,1
USR-00132,CMP-0243,Pro,2024-12-13,Education,13.1,10,29.1,14.1,2025-09-20,11,21,4,8,0
USR-00133,CMP-0086,Free,2024-03-23,Marketing,13.4,1,1.5,2.5,2025-09-13,18,18,4,5,0
USR-00134,CMP-0578,Pro,2024-01-07,Healthcare,14.8,15,25.6,14.6,2025-09-22,9,18,1,7,0
USR-00135,CMP-0557,Free,2024-09-26,Healthcare,2.5,15,1.0,15.0,2025-08-04,58,0,1,7,1
USR-00136,CMP-0574,Enterprise,2024-01-21,Media,18.4,13,39.8,12.3,2025-09-30,1,24,1,6,0
USR-00137,CMP-0028,Enterprise,2024-09-30,Healthcare,18.8,18,39.6,18.1,2025-09-28,3,22,1,6,0
USR-00138,CMP-0556,Pro,2024-04-03,E-commerce,0.0,11,16.3,15.3,2025-09-18,13,3,0,10,0
USR-00139,CMP-0340,Enterprise,2025-01-06,Healthcare,12.3,11,39.0,8.4,2025-09-29,2,12,0,9,0
USR-00140,CMP-0331,Pro,2024-09-30,Marketing,6.3,11,28.0,13.3,2025-09-21,10,5,4,8,0
USR-00141,CMP-0506,Pro,2024-11-24,Education,13.1,9,24.6,10.7,2025-09-28,3,9,0,6,0
USR-00142,CMP-0348,Free,2024-03-25,Manufacturing,3.2,2,5.5,5.1,2025-09-19,12,7,3,1,1
USR-00143,CMP-0473,Pro,2024-12-27,Manufacturing,20.0,9,10.9,12.8,2025-10-01,0,27,0,5,0
USR-00144,CMP-0231,Pro,2025-03-02,E-commerce,9.1,16,5.3,15.9,2025-09-02,29,15,1,7,0
USR-00145,CMP-0190,Enterprise,2024-10-16,Logistics,10.8,14,50.1,15.6,2025-09-27,4,16,1,9,0
USR-00146,CMP-0225,Pro,2024-04-04,Marketing,15.2,12,26.1,14.7,2025-09-17,14,19,2,7,0
USR-00147,CMP-0385,Enterprise,2025-02-05,Technology,26.7,18,41.1,15.9,2025-09-28,3,22,2,8,0
USR-00148,CMP-0377,Pro,2024-10-06,Finance,15.3,17,13.4,17.5,2025-09-30,1,23,2,6,0
USR-00149,CMP-0283,Free,2025-03-17,Media,12.9,2,10.5,3.8,2025-10-01,0,21,2,7,1
USR-00150,CMP-0259,Enterprise,2024-08-22,Technology,13.6,16,38.4,15.4,2025-09-26,5,9,1,6,0
USR-00151,CMP-0359,Pro,2023-12-19,Marketing,19.1,11,30.7,10.8,2025-09-28,3,23,1,7,0
USR-00152,CMP-0456,Free,2024-12-31,Healthcare,6.2,1,4.8,5.2,2025-09-27,4,14,3,4,0
USR-00153,CMP-0411,Pro,2024-06-12,Education,11.4,14,23.3,14.4,2025-09-26,5,15,0,9,0
USR-00154,CMP-0318,Free,2024-10-12,Technology,2.6,6,4.0,9.0,2025-09-24,7,4,1,0,0
USR-00155,CMP-0225,Pro,2024-08-26,Finance,9.7,13,18.8,13.3,2025-09-24,7,7,0,6,0
USR-00156,CMP-0234,Pro,2025-02-10,Logistics,13.9,12,37.7,7.8,2025-09-27,4,14,3,7,0
USR-00157,CMP-0374,Pro,2024-02-27,Manufacturing,7.6,21,19.2,19.9,2025-09-23,8,14,0,3,0
USR-00158,CMP-0472,Enterprise,2024-05-22,Logistics,23.4,14,13.3,14.4,2025-09-26,5,19,1,9,0
USR-00159,CMP-0233,Pro,2024-04-21,Finance,3.6,18,14.4,18.1,2025-09-30,1,15,3,6,0
USR-00160,CMP-0113,Free,2024-01-18,Education,13.8,7,2.7,6.8,2025-09-26,5,14,1,3,1
USR-00161,CMP-0497,Pro,2023-10-13,Healthcare,14.6,16,15.2,12.2,2025-09-27,4,20,3,9,0
USR-00162,CMP-0442,Enterprise,2024-06-27,Finance,14.0,22,32.2,22.5,2025-09-22,9,15,2,6,0
USR-00163,CMP-0564,Free,2024-04-10,Media,7.0,3,35.4,4.6,2025-09-25,6,3,3,7,0
USR-00164,CMP-0268,Free,2025-03-28,Finance,0.5,8,8.5,9.9,2025-09-25,6,8,1,5,0
USR-00165,CMP-0510,Free,2023-12-01,Marketing,9.9,1,1.4,3.0,2025-09-17,14,20,1,4,1
USR-00166,CMP-0386,Free,2024-04-29,Healthcare,8.4,1,4.4,3.8,2025-09-24,7,18,5,2,1
USR-00167,CMP-0387,Enterprise,2023-12-20,Education,17.3,17,51.9,15.3,2025-09-22,9,24,1,6,0
USR-00168,CMP-0113,Pro,2024-07-30,Manufacturing,10.1,18,41.3,14.5,2025-09-16,15,13,0,8,0
USR-00169,CMP-0081,Free,2024-08-13,Manufacturing,3.6,8,1.0,10.8,2025-09-21,10,17,0,8,1
USR-00170,CMP-0113,Pro,2025-01-12,Finance,3.4,7,13.5,6.8,2025-09-24,7,4,2,8,0
USR-00171,CMP-0002,Free,2025-01-02,Marketing,12.1,8,1.0,9.9,2025-10-01,0,20,1,5,0
USR-00172,CMP-0220,Enterprise,2024-03-07,Technology,19.2,12,37.4,13.8,2025-09-28,3,26,0,9,0
USR-00173,CMP-0566,Enterprise,2024-07-11,Logistics,15.7,23,49.8,19.6,2025-09-28,3,28,2,8,0
USR-00174,CMP-0225,Free,2024-02-13,Logistics,1.8,1,1.2,1.0,2025-09-25,6,11,1,3,0
USR-00175,CMP-0385,Enterprise,2023-10-24,Logistics,17.3,6,20.5,15.1,2025-10-01,0,29,1,6,0
USR-00176,CMP-0403,Pro,2024-07-26,Technology,0.0,15,15.9,13.4,2025-09-14,17,1,4,6,0
USR-00177,CMP-0130,Free,2024-12-04,Marketing,1.6,1,1.7,5.7,2025-09-24,7,7,2,3,0
USR-00178,CMP-0053,Free,2025-03-26,Logistics,0.7,8,7.1,15.2,2025-09-17,14,10,1,5,1
USR-00179,CMP-0416,Pro,2024-05-24,Media,16.1,6,8.1,10.2,2025-10-01,0,30,1,10,0
USR-00180,CMP-0247,Enterprise,2024-07-06,Technology,12.7,15,18.5,14.1,2025-09-30,1,17,0,8,0
USR-00181,CMP-0439,Enterprise,2024-06-03,Technology,10.3,20,36.3,18.8,2025-09-26,5,12,3,10,0
USR-00182,CMP-0203,Pro,2024-09-07,Education,19.4,15,20.7,12.5,2025-09-28,3,23,3,7,0
USR-00183,CMP-0184,Enterprise,2023-12-28,Education,22.0,24,26.3,24.8,2025-09-29,2,21,0,7,0
USR-00184,CMP-0123,Pro,2024-02-14,Healthcare,16.1,9,23.8,11.9,2025-09-30,1,26,3,3,0
USR-00185,CMP-0401,Enterprise,2024-09-01,Media,16.9,14,39.2,12.7,2025-09-30,1,28,0,8,0
USR-00186,CMP-0294,Enterprise,2025-01-15,Media,9.3,24,37.4,19.1,2025-09-24,7,17,0,7,0
USR-00187,CMP-0280,Free,2023-12-12,Healthcare,5.2,4,36.0,2.2,2025-09-20,11,3,2,3,0
USR-00188,CMP-0198,Pro,2023-10-06,Media,22.5,8,23.6,12.4,2025-09-15,16,28,1,4,0
USR-00189,CMP-0511,Enterprise,2025-03-18,E-commerce,17.5,24,40.7,22.6,2025-09-25,6,19,1,8,0
USR-00190,CMP-0144,Free,2024-10-22,Consulting,3.2,5,4.5,7.6,2025-08-22,40,3,3,4,1
USR-00191,CMP-0201,Enterprise,2023-10-28,Logistics,16.6,18,48.9,14.9,2025-09-25,6,24,4,10,0
USR-00192,CMP-0124,Free,2024-09-15,Education,1.9,3,2.0,1.0,2025-10-01,0,2,6,8,0
USR-00193,CMP-0187,Pro,2024-04-24,Healthcare,16.4,9,36.1,13.1,2025-09-12,19,25,2,5,0
USR-00194,CMP-0326,Enterprise,2024-04-04,Healthcare,20.7,22,32.4,20.7,2025-10-01,0,25,0,4,0
USR-00195,CMP-0464,Free,2024-01-13,Media,6.6,8,6.8,12.1,2025-10-01,0,6,2,5,0
USR-00196,CMP-0349,Free,2023-11-09,Technology,22.7,3,5.7,4.2,2025-10-01,0,27,2,4,0
USR-00197,CMP-0403,Pro,2024-05-21,Manufacturing,15.1,12,23.1,11.9,2025-09-28,3,28,3,8,0
USR-00198,CMP-0346,Enterprise,2024-08-31,Finance,16.1,23,8.8,23.5,2025-09-29,2,24,0,8,0
USR-00199,CMP-0511,Free,2025-03-02,Finance,7.3,1,4.6,6.0,2025-09-24,7,16,2,8,0
USR-00200,CMP-0147,Enterprise,2024-07-13,Healthcare,24.7,9,40.4,12.6,2025-10-01,0,24,1,8,0
USR-00201,CMP-0148,Free,2025-01-15,Logistics,0.5,4,21.4,5.3,2025-09-22,9,4,2,2,0
USR-00202,CMP-0489,Enterprise,2024-02-17,E-commerce,14.0,20,38.6,20.8,2025-09-30,1,11,0,6,0
USR-00203,CMP-0551,Enterprise,2024-07-27,Logistics,18.8,23,38.3,24.7,2025-09-27,4,22,0,7,0
USR-00204,CMP-0338,Pro,2025-03-24,Healthcare,19.3,11,20.2,11.5,2025-09-29,2,25,1,6,0
USR-00205,CMP-0473,Pro,2024-02-29,Logistics,16.9,16,11.7,14.3,2025-09-30,1,23,1,6,0
USR-00206,CMP-0151,Pro,2024-06-27,Education,5.5,16,13.4,19.8,2025-09-29,2,6,4,8,0
USR-00207,CMP-0415,Pro,2024-12-14,Logistics,6.1,13,14.5,11.4,2025-09-29,2,8,2,8,0
USR-00208,CMP-0298,Free,2024-03-23,Media,0.2,1,1.0,5.7,2025-09-19,12,0,2,4,0
USR-00209,CMP-0263,Free,2024-07-11,Media,2.8,3,4.7,5.2,2025-09-23,8,2,1,7,1
USR-00210,CMP-0144,Free,2024-06-11,E-commerce,4.2,1,12.8,1.0,2025-09-26,5,15,5,2,1
USR-00211,CMP-0346,Pro,2024-05-23,Education,14.9,14,30.7,17.6,2025-09-28,3,10,1,8,0
USR-00212,CMP-0572,Free,2023-11-13,Manufacturing,10.5,3,4.0,1.0,2025-09-25,6,29,5,7,1
USR-00213,CMP-0002,Pro,2023-10-07,Technology,12.3,12,33.7,6.6,2025-09-06,25,16,1,7,1
USR-00214,CMP-0304,Enterprise,2024-04-05,Education,21.9,13,46.8,15.0,2025-10-01,0,26,0,8,0
USR-00215,CMP-0254,Free,2023-10-06,Marketing,7.0,4,13.2,7.8,2025-09-08,23,6,2,7,0
USR-00216,CMP-0453,Pro,2024-07-08,Consulting,20.0,11,20.8,9.9,2025-09-23,8,25,0,9,0
USR-00217,CMP-0037,Pro,2023-12-18,Healthcare,10.0,2,29.3,5.0,2025-10-01,0,25,0,8,0
USR-00218,CMP-0160,Enterprise,2023-10-16,Marketing,15.3,15,30.0,7.4,2025-09-17,14,23,3,9,0
USR-00219,CMP-0009,Enterprise,2024-08-14,E-commerce,11.9,19,25.8,20.3,2025-09-27,4,20,3,5,1
USR-00220,CMP-0233,Enterprise,2025-02-05,Marketing,21.9,15,52.1,15.7,2025-09-28,3,20,1,8,0
USR-00221,CMP-0099,Enterprise,2024-07-28,Media,20.6,23,29.6,21.3,2025-09-30,1,30,1,7,0
USR-00222,CMP-0208,Free,2025-01-09,Logistics,2.5,8,1.0,9.5,2025-09-20,11,0,4,5,0
USR-00223,CMP-0131,Enterprise,2024-03-11,Technology,23.8,16,45.6,17.3,2025-10-01,0,25,0,9,0
USR-00224,CMP-0404,Pro,2024-10-07,Finance,11.1,12,16.4,12.5,2025-10-01,0,17,2,7,0
USR-00225,CMP-0152,Free,2024-11-07,Healthcare,7.5,5,11.1,1.4,2025-09-06,25,10,5,5,1
USR-00226,CMP-0054,Enterprise,2024-12-05,Finance,13.1,18,43.1,24.0,2025-09-25,6,16,1,8,0
USR-00227,CMP-0120,Free,2024-07-23,Logistics,5.7,1,15.3,7.4,2025-09-29,2,8,1,1,1
USR-00228,CMP-0587,Pro,2024-05-31,Media,6.1,10,26.8,7.1,2025-09-21,10,9,1,10,0
USR-00229,CMP-0420,Free,2025-02-05,Media,4.1,1,11.5,2.8,2025-09-13,18,15,3,5,1
USR-00230,CMP-0422,Pro,2025-01-26,Logistics,9.5,16,24.5,15.1,2025-09-30,1,20,0,9,0
